TYPE,NAME,,PROPERTIES:,Definition,,
Sector,Nonlife Insurance,,30302025,,,!
Subsector,Full Line Insurance,,Real Estate 35,"Companies that provide a wide range of insurance products such as a combination of life, property/casualty, and specialty insurance",,!
Subsector,Insurance Brokers,,3510,Insurance brokers and agents,,!
Subsector,Reinsurance,,351010,Companies engaged principally in reinsurance.,,!
Subsector,Property and Casualty Insurance,,35101010,"Companies engaged principally in accident, fire, automotive, marine, malpractice and other classes of nonlife insurance.",,!
Industry,Real Estate,,35101015,,,!
Sector,Real Estate,,351020,,,!
Sector,Real Estate Investment Services Department,,35102000,,,!
Subsector,Real Estate Holding and Development,,35102010,Companies that invest directly or indirectly in a variety of types of properties without a concentration on any single type,,!
Subsector,Real Estate Services,,35102015,"Companies that provide services to real estate companies but do not own the properties themselves. Includes agencies, brokers, leasing companies, management companies and advisory services.",,!
Sector,Real Estate Investment Trusts,,35102020,,,!
Subsector,Diversified REITs,,35102025,REITS that invest in a combination of other defined REIT categories,,!
Subsector,Health Care REITs,,35102030,"REITs that primarily invest in health care facilities including hospitals, nursing homes and assisted living properties",,!
Subsector,Hotel and Lodging REITs,,35102040,"REITS that primarily invest in hotels, motels, resorts or other lodging properties",,!
Subsector,Industrial REITs,,35102045,REITs that primarily invest in industrial properties including industrial warehouses and distribution properties,,!
Subsector,Infrastructure REITs,,35102050,"REITS that primarily invest in infrastructure assets including roads, bridges, tunnels, airports, power generation, fuels, pipelines, water and waste management, and communication assets",,!
Subsector,Office REITs,,35102060,REITs that primarily invest in office properties,,!
Subsector,Residential REITs,,35102070,"REITs that primarily invest in residential properties including manufactured homes, multifamily homes, apartments, and student housing properties",,!
Subsector,Retail REITs,,Consumer Discretionary 40,"REITs that primarily invest in retail properties including malls, shopping centers, neighborhood and community shopping centers, strip malls, free standing stores, and factory outlets",,!
Subsector,Storage REITs,,4010,REITs that primarily invest in public self-storage properties,,!
Subsector,Timber REITs,,401010,REITS that primarily invest in timberland and timber-related products and activities,,!
Subsector,Other Specialty REITs,,40101010,REITs that primarily invest in any single type of facility or property not specifically defined within another REITs industry,,!
Industry,Consumer Discretionary,,40101015,,,!
Sector,Automobiles and Parts,,40101020,,,!
Sector,Automobiles and Parts,,40101025,,,!
Subsector,Auto Services,,4020,Companies that provide assistance to individual vehicle owners,,!
Subsector,Tires,,402010,"Manufacturers, distributors and re-treaders of automobile, truck and motorcycle tires.",,!
Subsector,Automobiles,,40201010,"Makers of passenger vehicles, including cars, sport utility vehicles (SUVs) and light trucks. Excludes makers of heavy trucks and makers of recreational vehicles (RVs and ATVs).",,!
Subsector,Auto Parts,,40201020,"Manufacturers and distributors of new and replacement parts for motorcycles and automobiles, such as engines, carburetors and batteries. Excludes producers of tires, which are classified under Tires.",,!
Sector,Consumer Services,,40201030,,,!
Sector,Consumer Services,,40201040,,,!
Subsector,Education Services,,40201050,"Companies that own and manage higher education systems, post-secondary degree programs or other educational services",,!
Sector,"Consumer
Products and
Services  ",,40201060,,,!
Sector,Consumer Services,,40201070,,,!
Subsector,Funeral Parlors and Cemetery,,402020,"Companies that own and operate funeral homes, cemeteries, crematoriums and/or provide other funeral services.",,!
Subsector,Printing and Copying Services,,40202010,"Companies specializing in printing, copying and/or similar solutions for individuals and small businesses",,!
Subsector,Rental and Leasing Services: Consumer,,40202015,"Companies that lease automobiles, appliances, electronics or furniture to consumers",,!
Subsector,Storage Facilities,,40202020,Companies that own and operate storage facilities (does not include companies structured as REITs,,!
Sector,"Consumer
Products and
Services ",,40202025,,,!
Sector,Consumer Services,,402030,,,!
Subsector,Vending and Catering Service,,40203010,Companies that provide catering and food service and/or food ingredients to individuals or institutions,,!
Subsector,Consumer Services: Misc.,,40203040,"Consumer Services companies that are not categorized in the Education Services, Funeral Parlors and Cemeteries, Printing and Copying Services, Rental and Leasing Services, Storage Facilities or Vending and Catering Services categories",,!
Sector,Household Goods and Home Construction,,40203045,,,!
Subsector,Home Construction,,40203050,"Constructors of residential homes, including manufacturers of mobile and prefabricated homes intended for use in one place.",,!
Subsector,Household Furnishings,,40203055,"Manufacturers and distributors of furniture, including chairs, tables, desks, and office furniture.",,!
Subsector,Household Appliance,,40203060,Companies that manufacture and market household electrical appliances.,,!
Sector,Leisure Goods,,403040,,,!
Subsector,Household Equipment and Products,,40204020,"Companies that manufacture and supply various household products. Includes manufacturers of gardening tools, kitchen utensils, dishes and other home related products",,!
Subsector,Consumer Electronics,,40204025,Companies primarily involved in the application of technology and electronics to the consumer discretionary sector.,,!
Subsector,Electronic Entertainment,,40204030,"Companies that design, manufacture and market video game software and related elements. Also includes consumer entertainment technology, e.g. Dolby",,!
Subsector,Toys,,40204035,"Manufacturers and distributors of toys and games as playing cards, board games, stuffed animals and dolls.",,!
Subsector,Recreational Products,,4030,"Manufacturers and distributors of recreational equipment not classified in other ""Leisure Goods"" categories, including Musical  Instruments",,!
Subsector,Recreational Vehicles and Boats,,403010,"Companies that design, manufacture and market recreation vehicles (RVs), motorcycles or passenger boats",,!
Sector,Personal Goods,,40301010,,,!
Subsector,Photography,,40301020,Companies that produce and/or market professional and/or personal imaging products including digital cameras and film cameras,,!
Subsector,Clothing and Accessories,,40301030,"Manufacturers and distributors of all types of clothing and accessories. Includes sportswear, sunglasses, eyeglass frames, leather clothing and goods, and processors of hides and skins. Excludes jewelry, which is categorized under Luxury Items",,!
Subsector,Footwear,,40301035,"Manufacturers and distributors of shoes, boots, sandals, sneakers and other types of footwear.",,!
Subsector,Luxury Items,,4040,"Companies that manufacture and market jewelry, watches and gemstones.",,!
Subsector,Cosmetics,,404010,"Companies that produce and market make-up and fragrance products (perfume).  Excludes personal care products, which are classified under Consumer Staples",,!
Sector,Media,,40401010,,,!
Sector,Media,,40401020,,,!
Subsector,Entertainment,,40401025,"Companies that provide various media services including feature films, music and television shows and stations",,!
Subsector,Media Agencies,,40401030,"Companies that provide a wide range of marketing and public relations services such as promoting advertising space in telephone and professional directories, analyzing market research and other various marketing activities.  Excluding website design/publishing, which are classified under the Consumer Digital Services Subsector.",,!
Subsector,Publishing,,4050,"Companies that provide advertising and publishing services to customers in industrial, commercial, and design markets.  This includes companies that publish books, magazines, comics, encyclopedias, financial reports, journals and/or newspapers",,!
Subsector,Radio and TV Broadcasters,,405010,Companies with principal activities that include operating commercial TV stations and/or radio broadcasting,,!
Sector,Retailers,,40501010,,,!
Sector,Retailers,,40501015,,,!
Subsector,Diversified Retailers,,40501020,Retail outlets and wholesalers offering a wide variety of products including both hard goods and soft goods.,,!
Subsector,Apparel Retailers,,40501025,"Retailers and wholesalers specializing mainly in clothing, shoes, jewelry, sunglasses and other accessories.",,!
Subsector,Home Improvement Retailers,,40501030,"Retailers and wholesalers concentrating on the sale of home improvement products, including garden equipment, carpets, wallpaper, paint, home furniture, blinds and curtains, and building materials.",,!
Subsector,Specialty Retailers,,40501040,"Retailers and wholesalers concentrating on a single class of goods, such as electronics, books, automotive parts or closeouts. Includes automobile dealerships, duty-free shops and automotive fuel stations not owned by oil companies.  Excludes Apparel and Home Improvement Retailers",,!
Sector,Travel and Leisure,,Consumer Staples 45,,,!
Sector,Travel and Leisure,,4510,,,!
Subsector,Airlines,,451010,"Companies providing primarily passenger air transport. Excludes airport operators and air freight transport, which are classified under 50206040 - Delivery Services.",,!
Subsector,Travel and Tourism,,45101010,"Companies providing travel and tourism related services, including travel agents, online travel reservation services, and companies that provide passenger transportation for leisure are included, such as tour buses, leisure cruisers and railways, and taxis. Excludes mass public transportation services which are classified under Industrial Transportation Sector.",,!
Subsector,Casinos and Gambling,,45101015,"Providers of gambling and casino facilities. Includes online casinos, racetracks and the manufacturers of pachinko machines and casino and lottery equipment.",,!
Subsector,Hotels and Motels,,45101020,"Operators and managers of hotels, motels, lodges, resorts, spas and campgrounds.",,!
Subsector,Recreational Services,,451020,"Providers of leisure facilities and services, including fitness centers, amusement parks, concerts and sports/e-sports event promotion. Also includes companies that own and manage professional sports teams.",,!
Subsector,Restaurants and Bars,,45102010,"Operators of restaurants, fast-food facilities, coffee shops and bars. Includes integrated brewery companies.  Excludes catering companies, which are classified as Vending and Catering Service.",,!
Industry,Consumer Staples,,45102020,,,!
Sector,"Food, Beverages and Tobacco",,45102030,,,!
Sector,Beverages,,45102035,,,!
Subsector,Brewers,,451030,"Manufacturers and shippers of cider or malt products such as beer, ale and stout.",,!
Subsector,Distillers and Vintners,,45103010,"Producers, distillers, vintners, blenders and shippers of wine and spirits such as whisky, brandy, rum, gin or liqueurs.",,!
Subsector,Soft Drinks,,4520,"Manufacturers, bottlers and distributors of non-alcoholic beverages, such as soda, fruit juices, tea, coffee and bottled water.",,!
Sector,Food Produces,,452010,,,!
Subsector,"Farming, Fishing, Ranching and Plantations",,45201010,"Companies that grow crops or raise livestock, operate fisheries or own nontobacco plantations. Includes manufacturers of livestock feeds and seeds and other agricultural products",,!
Subsector,Food Products,,45201015,"Food producers, including meatpacking, snacks, fruits, vegetables, dairy products and frozen seafood. Includes producers of pet food and manufacturers of dietary supplements, vitamins and related items. Excludes producers of fruit juices, tea, coffee, bottled water and other non-alcoholic beverages, which are classified under Soft Drinks.",,!
Subsector,Fruit and Grain Processing,,45201020,"Companies involved in the value-adding process of various ""raw"" or ""unprocessed"" agricultural products.  May also produce and market such products.",,!
Subsector,Sugar,,45201030,"Companies that grow, refine, process and distribute sugar",,!
Sector," Personal
Care, Drug and
Grocery Stores",,45201040,,,!
Sector,"Personal
Care, Drug and
Grocery Stores",,Industrials 50,,,!
Subsector,Tobacco,,5010,"Manufacturers and distributors of cigarettes, cigars and other tobacco products. Includes tobacco plantations.",,!
Subsector,Food Retailers and Wholesalers,,501010,"Supermarkets, food-oriented convenience stores and other food retailers and distributors. Includes retailers of dietary supplements and vitamins.",,!
Subsector,Drug Retailers,,50101010,"Operators of pharmacies, including wholesalers and distributors catering to these businesses.",,!
Subsector,Personal Products,,50101015,"Makers and distributors of toiletries and personal-care and hygiene products, including deodorants, soaps, toothpaste, perfumes, diapers, shampoos, razors, condoms and feminine-hygiene products. Excludes makers of hormonal (oral or injection) and implants (intrauterine devices) and contraceptives, which are classified under the Pharmaceuticals Subsector.",,!
Subsector,Nondurable Household Products,,50101020,"Producers and distributors of pens, paper goods, batteries, light bulbs, tissues, toilet paper and cleaning products such as soaps and polishes.",,!
Subsector,Miscellaneous Consumer Staple Goods,,50101025,Includes Consumer Staples companies that are not classified in any other Consumer Staples industry,,!
Industry,Industrials,,50101030,,,!
Sector,Construction and Materials,,50101035,,,!
Sector,Construction and Materials,,5020,,,!
Subsector,Construction,,502010,Companies that provide construction and infrastructure development services to private and/or public sector clients.,,!
Subsector,Engineering and Contracting Services,,50201010,"Companies that provide capital project planning and solutions.  Includes engineering contracts, infrastructure development, bid preparation, interior enhancement designs and architects.",,!
Sector,"Building, Roofing",,50201020,,,!
Subsector,Wallboard and Plumbing,,502020,"Companies that design, manufacture, market and/or install non-climate control systems and related products such as siding, windows and water pipes.",,!
Subsector,Building: Climate Control,,50202010,"Companies that design, manufacture, market and/or install air conditioning, heating and/or refrigeration systems",,!
Subsector,Cement,,50202020,Companies primarily engaged in manufacturing and distributing cement and cement-derived products,,!
Subsector,Building Materials: Other,,50202025,"Companies that provide materials to the building and construction industry, excluding air-conditioning, cement, heating, plumbing, roofing, and wall boards",,!
Sector,General Industrials,,50202030,,,!
Subsector,Diversified Industrials,,50202040,"Companies engaged in three or more industrial business activities, none of which is the dominant business line",,!
Sector,Industrial Goods and Services,,502030,,,!
Sector,Aerospace and Defense,,50203000,,,!
Subsector,Aerospace,,50203010,"Manufacturers, assemblers and distributors of aircraft and aircraft parts, including communication satellite,  used in commercial or private air and/or space transport.",,!
Sector," Industrial
Goods and Services",,50203015,,,!
Sector,Aerospace and Defense,,50203020,,,!
Subsector,Defense,,50203030,"Producers of components and equipment for the defense industry, including military aircraft, radar equipment and weapons. Also included are companies that primarily provide services to the defense industry.",,!
Sector," Electronic
and Electrical
Equipment",,502040,,,!
Subsector,Electrical Components,,50204000,"Makers and distributors of basic electrical parts for finished products such as radios, televisions and other consumer electronics. Includes makers of cables, wires, ceramics, transistors, and electric adapters. Excludes communications-related equipment, which are classified under Telecommunications Equipment and makers of high-technology parts, which are classified under Electronic Components Subsector.",,!
Subsector,Electronic Equipment: Control and Filter,,50204010,Companies primarily  involved in providing mechanical and electronic security and/or filtration systems,,!
Subsector,Electronic Equipment: Gauges and Meters,,50204020,"Companies that design, manufacture and market products used to measure electric, gas, water, imaging, and other data for use in a variety of industries.",,!
Subsector,Electronic Equipment: Pollution Control,,50204030,Companies primarily engaged in the production of pollution control equipment for purification of air and liquids.,,!
Subsector,Electronic Equipment: Other,,50204040,Companies that specialize in the development and production of electrical devices/components marketed to business clients.,,!
Sector,General Industrials,,50204050,,,!
Subsector,Paints and Coatings,,502050,"Companies that manufacture and distribute paint, material coatings, and resins",,!
Subsector,Plastics,,50205010,Companies that manufacture and market plastic products or chemicals used to make plastic,,!
Subsector,Glass,,50205015,"Companies that manufacture various structural glasses such as float glass, architectural glass, delicacy glass, automotive glass, and other glass products. Glass containers/bottles prepared for other markets are classified in 50203030 - Containers and Packaging. Specialized glass for application in electronics are classified in 10102015 - Electronic Components.",,!
Subsector,Containers and Packaging,,50205020,"Companies that may produces a wide range of packaging products and packaging related materials, including  cartons, plastic bottles, jars, glass bottles,  aluminum cans, dispensing pumps, aerosol valves, etc.",,!
Sector,Industrial Engineering,,50205025,,,!
Subsector,Machinery: Industrial,,50205030,"Companies that design, develop, manufacture, sell, and support general industrial machines and parts. This excludes all the other machinery subsectors specified",,!
Subsector,Machinery: Agricultural,,50205040,"Manufacturers and distributers of a range of farming equipment for irrigation, harvesting, plowing and other processes",,!
Subsector,Machinery: Construction and Handling,,502060,"Companies that design, manufacture and market large-size industrial equipment for construction and ports.",,!
Subsector,Machinery: Engines,,50206010,"Companies that manufacture and distribute energy output devices and component parts, including diesel engines and gas engines",,!
Subsector,Machinery: Tools,,50206015,Companies that manufactures and market value-adding equipment for various heavy industries,,!
Sector,Industrial Support and Services,,50206020,,,!
Subsector,Machinery: Specialty,,50206025,"Companies that design, manufacture and market a specific type or Sector of industrial machines and parts. This excludes all the other Machinery industries categorized in the Machinery subsector.",,!
Subsector,Industrial Suppliers,,50206030,Distributors and wholesalers of diversified products and equipment primarily used in the commercial and industrial sectors. Includes builder’s merchants and companies providing  Maintenance/Repair services.,,!
Subsector,Transaction Processing Services,,50206040,"Providers of computerized transaction processing services. Includes companies that engages in any aspects of global payment services such as routing of payment information and related data services that facilitate the authorization, clearing, and settlement of transactions. Includes card network operators, issuer and acquirer processors.",,!
Subsector,Professional Business Support Services,,50206050,"Companies that provide outsourced business operation services. This includes consulting services, corporate taxes, and business decision tools such as credit monitoring and KYC database service. Credit Agencies and Rating firms are classified under the Financial Data Providers Subsector.",,!
Subsector,Business Training and Employment Agencies,,50206060,Providers of business or management training courses and employment services. Includes online job search companies.,,!
Subsector,Forms and Bulk Printing Services,,Basic Materials 55,"Companies that provide printed business products including forms, checks, labels and IDs",,!
Subsector,Security Services,,5510,"Companies that provide security services, install, service and monitor alarm and security systems.",,!
Sector,Industrial Transportation,,551010,,,!
Subsector,Trucking,,55101000,"Companies that provide commercial trucking or mass public bus services. Excludes road and tunnel operators, which are classified under Transportation Services Subsector.",,!
Subsector,Commercial Vehicles and Parts,,55101010,"Companies that design, develop, manufacture, and distribute light, medium and heavy duty trucks and vans.  Also includes related aftermarket distribution of parts",,!
Subsector,Railroads,,55101015,Companies that operate railway systems for transporting goods and mass public rail services.,,!
Subsector,Railroad Equipment,,55101020,"Companies that manufacture, supply and distribute railroad supplies",,!
Subsector,Marine Transportation,,551020,"Providers of on-water transportation for commercial markets, such as container shipping. Also includes shipbuilders. Excludes ports, which are classified under Transportation Services.",,!
Subsector,Delivery Services,,55102000,Operators of mail and package delivery services for commercial and consumer use. Includes courier and logistic services primarily involving air transportation.,,!
Subsector,Commercial Vehicle-Equipment Leasing,,55102010,"Companies that rents and lease operational equipment to commercial clients, such as: rails, tankers, freight cars, related equipment plus aviation assets (jets and airplanes).",,!
Subsector,Transportation Services,,55102015,"Companies providing services to the Industrial Transportation sector, including companies that manage airports, train depots, roads, bridges, tunnels, ports, and providers of logistic services to shippers of goods. Includes companies that provide aircraft and vehicle maintenance services.",,!
Industry,Basic Materials,,55102035,,,!
Sector,Basic Resources,,55102040,,,!
Sector,Industrial Materials,,55102050,,,!
Subsector,Diversified Materials,,551030,"Companies involved in manufacturing a diversified range of  materials (e.g.,  bauxite, abrasive materials and composite material)",,!
Subsector,Forestry,,55103020,"Owners and operators of timber tracts, forest tree nurseries and sawmills. Excludes providers of finished wood products such as wooden beams, which are classified under Building Materials.  Also excludes timber REITs, which are classified under Real Estate.",,!
Subsector,Paper,,55103025,"Companies that manufacture and market paper products including office paper, cardboard, tissue paper, newsprint, commercial pulp, etc.",,!
Subsector,Textile Products,,55103030,"Companies that produce and distribute various textile products such as cotton yarns, denims, and other finished fabrics.",,!
Sector,Industrial Metals and Mining,,5520,,,!
Subsector,General Mining,,552010,"Companies engaged in the exploration, extraction or refining of minerals not defined elsewhere within the Mining sector. Also includes companies engaged in diversified metals and mining, marketing of mining commodities,and providers of contracted drilling services. Excludes companies that primarily provide services to Oil and Gas companies which are classified in the Oil Equipment and Services Subsector and companies that mine, process and market coal, which are classified under Coal Subsector.",,!
Subsector,Iron and Steel,,55201000,"Companies that mine for iron ore and companies that produce, process, and distribute steel products.  This can include welding consumables, strip steel, rods, bars, wires, piping, tubing, rails, and structural products as well as sheets and coils",,!
Subsector,Metal Fabricating,,55201010,"Companies that manufacture and supply fabricated metal components such as, rings, piping materials, hinges, springs,   etc.",,!
Subsector,Aluminum,,55201015,"Companies that mine or process bauxite or manufacture and distribute aluminum bars, rods and other products for use by other industries. Excludes manufacturers of finished aluminum products, such as siding, which are categorized according to the type of end product.",,!
Subsector,Copper,,55201020,"Companies primarily involved in the mining, extraction and distribution of copper and related minerals",,!
Subsector,Nonferrous Metals,,Energy 60,"Producers and traders of metals and primary metal products other than iron, aluminum and steel. Excludes companies that make finished products, which are categorized according to the type of end product.",,!
Sector, Precious Metals and Mining,,6010,,,!
Subsector,Diamonds and Gemstones,,601010,Companies engaged in the exploration for and production of diamonds and other gemstones.,,!
Subsector,Gold Mining,,60101000,Prospectors for and extractors or refiners of gold-bearing ores.,,!
Subsector,Platinum and Precious Metals,,60101010,"Companies engaged in the exploration for and production of platinum, silver and other precious metals not defined elsewhere.",,!
Sector,Chemicals,,60101015,,,!
Sector,Chemicals,,60101020,,,!
Subsector,Chemicals: Diversified,,60101030,Companies that manufacture and market a diversified range of industrial chemicals,,!
Subsector,Chemicals and Synthetic Fibers,,60101035,Companies that manufacture and distribute chemical fibers for various applications,,!
Subsector,Fertilizers,,60101040,Companies that manufacture and market nitrogen fertilizers and other agricultural chemicals,,!
Subsector,Specialty Chemicals,,601020,Companies that manufacture and market a specific type or Sector of chemicals elsewhere in the Chemicals subsector,,!
Industry,Energy,,60102010,,,!
Sector,Energy,,60102020,,,!
Sector,"Oil, Gas and Coal",,Utilities 65,,,!
Subsector,Integrated Oil and Gas,,6510,"Companies that engage in all three fields of petroleum production: Extraction (upstream), Transportation (midstream), and Refining and Marketing (downstream).",,!
Subsector,Oil: Crude Producers,,651010,"Companies engaged in the exploration for and drilling, production, and supply of crude oil on land",,!
Subsector,Offshore Drilling and Other Services,,65101010,Companies that primarily explore and drill for oil and gas in offshore areas.,,!
Subsector,Oil Refining and Marketing,,65101015,Companies primarily engaged in the refining and marketing of petroleum products (downstream).,,!
Subsector,Oil Equipment and Services,,651020,"Suppliers of equipment and services to oil fields and offshore platforms, such as drilling, exploration, seismic-information services and platform construction.",,!
Subsector,Pipelines,,65102000,"Operators of pipelines carrying oil, gas or other forms of fuel. Excludes pipeline operators that derive the majority of their revenues from direct sales to end users, which are classified under Gas Distribution.",,!
Subsector,Coal,,65102020,"Companies that mine, process and market coal",,!
Sector,Alternative Energy,,65102030,,,!
Subsector,Alternative Fuels,,65103035,"Companies that produce alternative fuels such as ethanol, methanol, hydrogen and bio-fuels that are mainly used to power vehicles, and companies that are involved in the production of vehicle fuel cells and/or the development of alternative fueling infrastructure.",,!
Sector,Alternative energy,,,,,!
Subsector,Renewable Energy Equipment,,,"Companies that develop or manufacture renewable energy equipment utilizing sources such as solar, wind, tidal, geothermal, hydro and waves.",,!
Industry,Utilities,,,,,!
Sector,Utilities,,,,,!
Sector,Electricity,,,,,!
Subsector,Alternative Electricity,,,"Companies generating and distributing electricity from a renewable source. Includes companies that produce solar, water, wind and geothermal electricity.",,!
Subsector,Conventional Electricity,,,"Companies generating and distributing electricity through the burning of fossil fuels such as coal, petroleum and natural gas, and through nuclear energy.",,!
Sector,"Gas, Water and Multi-utilities",,,,,!
Subsector,Multi-Utilities,,,Companies that engage in multiple utilities that have no particular dominance over one another.,,!
