Target object,Target attribute,Source object,Source attribute,Full or Partial Map,Delta,Proxy,Dependant on Industry,Calculation Required
Metrics and Targets,S2.21d,Template 7: Mitigating actions: Assets for the calculation of GAR,l,Part,Opportunities are not specifically referred to in EBA. [Could potentially use GAR numerator assets?],Yes,No,No
Metrics and Targets,S2.21d,Template 7: Mitigating actions: Assets for the calculation of GAR,32,Part,Opportunities are not specifically referred to in EBA. [Could potentially use GAR numerator assets?],Yes,No,No
Metrics and Targets,S2.23,Table 1: Qualitative information on Environmental risk,(b),Yes,0,No,No,No
Metrics and Targets,S2.23a,Table 1: Qualitative information on Environmental risk,(b),Part,"EBA P3 measures contribution to general goals of climate mitigation and adaptation (mainly via the GAR templates). However, specific disclosures regarding entity level targets are not required",No,No,No
Metrics and Targets,S2.23b,Table 1: Qualitative information on Environmental risk,(b),Yes,0,No,No,No
Metrics and Targets,S2.23c,Table 1: Qualitative information on Environmental risk,(b),Part,"EBA P3 measures contribution to general goals of climate mitigation and adaptation (mainly via the GAR templates). However, specific disclosures regarding entity level targets are not required",No,No,No
Metrics and Targets,S2.23d,Table 1: Qualitative information on Environmental risk,(b),Part,"EBA P3 measures contribution to general goals of climate mitigation and adaptation (mainly via the GAR templates). However, specific disclosures regarding entity level targets are not required",No,No,No
Metrics and Targets,S2.23e,Table 1: Qualitative information on Environmental risk,(b),Part,"An explanation of the linkages of targets to current international and EU policy framework, and other benchmarks available",No,No,No
Metrics and Targets,S2.23g,Table 1: Qualitative information on Environmental risk,(b),Part,"EBA P3 measures contribution to general goals of climate mitigation and adaptation (mainly via the GAR templates). However, specific disclosures regarding entity level targets are not required",No,No,No
Metrics and Targets,S2.23h,Table 1: Qualitative information on Environmental risk,(b),Part,"EBA P3 measures contribution to general goals of climate mitigation and adaptation (mainly via the GAR templates). However, specific disclosures regarding entity level targets are not required",No,No,No
Metrics and Targets,S2.23i,Table 1: Qualitative information on Environmental risk,(b),Part,"EBA P3 measures contribution to general goals of climate mitigation and adaptation (mainly via the GAR templates). However, specific disclosures regarding entity level targets are not required",No,No,No
B15 - Asset Management and Custody Activities,FN-AC-410a.2,Table 1: Qualitative information on Environmental risk,(j),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B15 - Asset Management and Custody Activities,FN-AC-410a.2,Table 1: Qualitative information on Environmental risk,(l),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B15 - Asset Management and Custody Activities,FN-AC-410a.2,Table 1: Qualitative information on Environmental risk,(o),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B15 - Asset Management and Custody Activities,FN-AC-410a.2,Table 1: Qualitative information on Environmental risk,(r),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B15 - Asset Management and Custody Activities,FN-AC-1,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,a,Part,"EBA P3 may not require disclosure regarding banks' asset management activities (unless these fall under banking book?). If required, same as FN-CB-2*. Calculation required",No,Yes,Yes
B15 - Asset Management and Custody Activities,FN-AC-1,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Part,"EBA P3 may not require disclosure regarding banks' asset management activities (unless these fall under banking book?). If required, same as FN-CB-2*. Calculation required",No,Yes,Yes
B15 - Asset Management and Custody Activities,FN-AC-2,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Part,"If required, same as FN-CB-3*",No,Yes,No
B15 - Asset Management and Custody Activities,FN-AC-2,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,j,Part,"If required, same as FN-CB-3*",No,Yes,No
B15 - Asset Management and Custody Activities,FN-AC-3,Template 3: Banking book - Climate change transition risk: Alignment metrics,d,Part,"[EBA P3 requires disclosure of alignment metrics, which often (but not always) include emissions intensity.] ISSB also requires disclosure for all CP industries, whereas P3 requires only 'relevant industries'. If required, same as FN-CB-4*",Yes,Yes,No
B15 - Asset Management and Custody Activities,FN-AC-4,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,Narrative,Part,"If required, same as FN-CB-5*",No,Yes,No
B16 - Commercial Banks,FN-CB-410a.2,Table 1: Qualitative information on Environmental risk,(j),Part,"Credit analysis is not specified, however link between ESG and credit risk is required",No,No,No
B16 - Commercial Banks,FN-CB-410a.2,Table 1: Qualitative information on Environmental risk,(l),Part,"Credit analysis is not specified, however link between ESG and credit risk is required",No,No,No
B16 - Commercial Banks,FN-CB-410a.2,Table 1: Qualitative information on Environmental risk,(o),Part,"Credit analysis is not specified, however link between ESG and credit risk is required",No,No,No
B16 - Commercial Banks,FN-CB-410a.2,Table 1: Qualitative information on Environmental risk,(r),Part,"Credit analysis is not specified, however link between ESG and credit risk is required",No,No,No
B16 - Commercial Banks,FN-CB-1,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,a,Yes,0,No,No,No
B16 - Commercial Banks,FN-CB-2,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,a,Yes,Calculation required,No,No,Yes
B16 - Commercial Banks,FN-CB-2,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Yes,Calculation required,No,No,Yes
B16 - Commercial Banks,FN-CB-3,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Part,"ISSB recommend use of GICS to classify CPs, EBA P3 uses NACE. ISSB also requires disaggregation by industry AND asset class - EBA P3 does not require asset class. Scope 1&2 are treated separately under ISSB, together under EBA P3. ISSB requires all industries, EBA P3 carbon-related industries only. (Adds more layers to reporting)",No,No,No
B16 - Commercial Banks,FN-CB-3,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,j,Part,"ISSB recommend use of GICS to classify CPs, EBA P3 uses NACE. ISSB also requires disaggregation by industry AND asset class - EBA P3 does not require asset class. Scope 1&2 are treated separately under ISSB, together under EBA P3. ISSB requires all industries, EBA P3 carbon-related industries only. (Adds more layers to reporting)",No,No,No
B16 - Commercial Banks,FN-CB-4,Template 3: Banking book - Climate change transition risk: Alignment metrics,d,Part,"[EBA P3 requires disclosure of alignment metrics, which often (but not always) include emissions intensity.] ISSB also requires disclosure for all CP industries, whereas P3 requires only 'relevant industries'.",Yes,No,No
B16 - Commercial Banks,FN-CB-5,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,Narrative,Yes,See guidance for col. i,No,No,No
B17 - Insurance,FN-IN-410a.2,Table 1: Qualitative information on Environmental risk,(j),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B17 - Insurance,FN-IN-410a.2,Table 1: Qualitative information on Environmental risk,(l),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B17 - Insurance,FN-IN-410a.2,Table 1: Qualitative information on Environmental risk,(o),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B17 - Insurance,FN-IN-410a.2,Table 1: Qualitative information on Environmental risk,(r),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B17 - Insurance,FN-IN-410b.1,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,c,No,[Could use Template 1 col. c or Template 6 col. E as a proxy - environmentally sustainable exposures/assets],Yes,No,No
B17 - Insurance,FN-IN-410b.1,Template 6: Summary of KPIs on the Taxonomy-aligned exposures,E,No,[Could use Template 1 col. c or Template 6 col. E as a proxy - environmentally sustainable exposures/assets],Yes,No,No
B17 - Insurance,FN-IN-1,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,a,Part,"EBA P3 may not require disclosure regarding banks' insurance activities (unless these fall under banking book?). If required, same as FN-CB-1*",No,Yes,No
B17 - Insurance,FN-IN-2,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,a,Part,"If required, same as FN-CB-2*",No,Yes,No
B17 - Insurance,FN-IN-2,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Part,"If required, same as FN-CB-2*",No,Yes,No
B17 - Insurance,FN-IN-3,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Part,"If required, same as FN-CB-3*",No,Yes,No
B17 - Insurance,FN-IN-3,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,j,Part,"If required, same as FN-CB-3*",No,Yes,No
B17 - Insurance,FN-IN-4,Template 3: Banking book - Climate change transition risk: Alignment metrics,d,Part,"[EBA P3 requires disclosure of alignment metrics, which often (but not always) include emissions intensity.] ISSB also requires disclosure for all CP industries and asset classes, whereas P3 requires only 'relevant industries'. If required, same as FN-CB-4*",Yes,Yes,No
B17 - Insurance,FN-IN-5,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,Narrative,Part,"If required, same as FN-CB-5*",No,Yes,No
B18 - Investment Banking & Brokerage,FN-IB-410a.2,Table 1: Qualitative information on Environmental risk,(l),No,Incorporation of ESG factors in investment/lending activities is not quantified under EBA P3. [This could potentially be calculated as investments/loans incorporating analysis from Table 1 (l)],Yes,No,No
B18 - Investment Banking & Brokerage,FN-IB-410a.3,Table 1: Qualitative information on Environmental risk,(j),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B18 - Investment Banking & Brokerage,FN-IB-410a.3,Table 1: Qualitative information on Environmental risk,(l),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B18 - Investment Banking & Brokerage,FN-IB-410a.3,Table 1: Qualitative information on Environmental risk,(o),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B18 - Investment Banking & Brokerage,FN-IB-410a.3,Table 1: Qualitative information on Environmental risk,(r),Part,Qualitative info on incorporation of ESG factors into activities,No,No,No
B18 - Investment Banking & Brokerage,FN-IB-1,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Part,"EBA P3 may not require disclosure regarding all IB activities. If required, same as FN-CB-3*",No,Yes,No
B18 - Investment Banking & Brokerage,FN-IB-1,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,j,Part,"EBA P3 may not require disclosure regarding all IB activities. If required, same as FN-CB-3*",No,Yes,No
B18 - Investment Banking & Brokerage,FN-IB-2,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,Narrative,Part,"If required, same as FN-CB-5*",No,Yes,No
B19 - Mortgage Finance,FN-MF-450a.2,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,f,Part,"Expected loss and LGD are not required specifically, however EBA P3 does require [Accumulated impairment, accumulated negative changes in fair value due to credit risk and provisions]",Yes,No,No
B19 - Mortgage Finance,FN-MF-450a.2,Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,g,Part,"Expected loss and LGD are not required specifically, however EBA P3 does require [Accumulated impairment, accumulated negative changes in fair value due to credit risk and provisions]",Yes,No,No
B19 - Mortgage Finance,FN-MF-450a.2,Template 5: Banking book - Climate change physical risk: Exposures subject to physical risk,m-o,Part,"Expected loss and LGD are not required specifically, however EBA P3 does require [Accumulated impairment, accumulated negative changes in fair value due to credit risk and provisions]",Yes,No,No
B19 - Mortgage Finance,FN-MF-450a.2,Template 5: Banking book - Climate change physical risk: Exposures subject to physical risk,n,Part,"Expected loss and LGD are not required specifically, however EBA P3 does require [Accumulated impairment, accumulated negative changes in fair value due to credit risk and provisions]",Yes,No,No
B19 - Mortgage Finance,FN-MF-450a.2,Template 5: Banking book - Climate change physical risk: Exposures subject to physical risk,o,Part,"Expected loss and LGD are not required specifically, however EBA P3 does require [Accumulated impairment, accumulated negative changes in fair value due to credit risk and provisions]",Yes,No,No
B19 - Mortgage Finance,FN-MF-450a.3,Table 1: Qualitative information on Environmental risk,(l),Part,"EBA P3 does not specifically refer to mortgage finance, however loans collateralised by residential/commercial property are disclosed",No,No,No
