ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Name (ISSB_v20220331),Description,TCFD_Map?,EBA_P3_Map?,SEC_Map?,SASB_Map?
1ddb7c7f-d76f-40cb-8fc1-54658937d3f7,Group,7de1da8b-759d-4bf3-b2c4-46512430b47d,29,,,,,,,,S1.16a,"Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand:",,,,
e87ef7aa-f540-4dd2-8607-91a59db27ded,Attribute,1ddb7c7f-d76f-40cb-8fc1-54658937d3f7,(a),,,,,,,,,the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 30⁠–⁠31);,,,,
47bfe526-f678-45ac-b792-83a5401e3d72,Attribute,1ddb7c7f-d76f-40cb-8fc1-54658937d3f7,(b),,,,,,,,,the current and anticipated effects of those sustainability-related risks and opportunities on the entity’s business model and value chain (see paragraph 32);,,,,
94134a6f-0ee0-45f5-9196-2bcc6ccbe7ee,Attribute,1ddb7c7f-d76f-40cb-8fc1-54658937d3f7,(c),,,,,,,,,the effects of those sustainability-related risks and opportunities on the entity’s strategy and decision-making (see paragraph 33);,,,,
15789c4f-e5b1-4e4d-99b4-aa25a4c23d3d,Attribute,1ddb7c7f-d76f-40cb-8fc1-54658937d3f7,(d),,,,,,,,,"the effects of those sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into the entityʼs financial planning (see paragraphs 34⁠–⁠40); and",,,,
188caa57-647c-4132-bc6e-ed87edd4ff66,Attribute,1ddb7c7f-d76f-40cb-8fc1-54658937d3f7,(e),,,,,,,,,the resilience of the entity’s strategy and its business model to those sustainability-related risks (see paragraphs 41⁠–⁠42).,,,,
5710096b-576c-4a48-ac4d-6dfd3c9ac7e4,Group,7de1da8b-759d-4bf3-b2c4-46512430b47d,Sustainability-related risks and opportunities,,,,,,,,,,,,,
bc9c66fa-6e85-4ed9-b0de-e219bf430103,Group,5710096b-576c-4a48-ac4d-6dfd3c9ac7e4,30,,,,,,,,,"An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall:",,,,
8c41ef82-aa20-49a2-9d4c-abce82e593e2,Attribute,bc9c66fa-6e85-4ed9-b0de-e219bf430103,(a),,,,,,,,,describe sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects;,,,,
5e692779-8810-4bc2-acc4-d7ced2a45f16,Attribute,bc9c66fa-6e85-4ed9-b0de-e219bf430103,(b),,,,,,,,,"specify the time horizons—short, medium or long term—over which the effects of each of those sustainability-related risks and opportunities could reasonably be expected to occur; and",,,,
563ff856-2fef-46f2-8921-434387668cdf,Attribute,bc9c66fa-6e85-4ed9-b0de-e219bf430103,(c),,,,,,,,S1.16b,"explain how the entity defines ‘short term’, ‘medium term’ and ‘long term’ and how these definitions are linked to the planning horizons used by the entity for strategic decision-making.",,,,
3258b504-d007-4d10-b352-672fc726097b,Attribute,5710096b-576c-4a48-ac4d-6dfd3c9ac7e4,31,,,,,,,,,"Short-, medium- and long- term time horizons can vary between entities and depend on many factors, including industry-specific characteristics, such as cash flow, investment and business cycles, the planning horizons typically used in an entity’s industry for strategic decision-making and capital allocation plans, and the time horizons over which users of general purpose financial reports conduct their assessments of entities in that industry.",,,,
3d66102d-def7-498b-9258-5fe57de73ba3,Group,7de1da8b-759d-4bf3-b2c4-46512430b47d,Business model and value chain,,,,,,,,,,,,,
0c82ce47-b210-47d4-beb7-0f2bfbdefe92,Group,3d66102d-def7-498b-9258-5fe57de73ba3,32,,,,,,,,,"An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain. Specifically, the entity shall disclose:",,,,
389d0a40-b832-4170-95c2-993d7c8fae75,Attribute,0c82ce47-b210-47d4-beb7-0f2bfbdefe92,(a),,,,,,,,S1.20a,a description of the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain; and,,,,
3fda5004-8c7a-4444-b0c5-2823c55dc0a7,Attribute,0c82ce47-b210-47d4-beb7-0f2bfbdefe92,(b),,,,,,,,S1.20b,"a description of where in the entity’s business model and value chain sustainability-related risks and opportunities are concentrated (for example, geographical areas, facilities and types of assets).",,,,
e7957a81-6481-4a12-8670-0397c5680ccd,Group,7de1da8b-759d-4bf3-b2c4-46512430b47d,Strategy and decision-making,,,,,,,,,,,,,
5d83255d-0059-4765-b538-789335df9826,Group,e7957a81-6481-4a12-8670-0397c5680ccd,33,,,,,,,,,"An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about:",,,,
355df167-3ec3-4d51-94ab-b7c1ef80bc40,Attribute,5d83255d-0059-4765-b538-789335df9826,(a),,,,,,,,S1.21a,"how the entity has responded to, and plans to respond to, sustainability-related risks and opportunities in its strategy and decision-making;",,,,
f430c046-8f6e-436e-abc1-ad452cfb9e3d,Attribute,5d83255d-0059-4765-b538-789335df9826,(b),,,,,,,,S1.21b,"the progress against plans the entity has disclosed in previous reporting periods, including quantitative and qualitative information; and",,,,
631d865d-3c25-4af7-baf5-bf056c6f8344,Attribute,5d83255d-0059-4765-b538-789335df9826,(c),,,,,,,,S1.21c,"trade-offs between sustainability-related risks and opportunities that the entity considered (for example, in making a decision on the location of new operations, an entity might have considered the environmental impacts of those operations and the employment opportunities they would create in a community).",,,,
6cd75084-df6b-4167-b17a-ee9ec410cdcc,Group,7de1da8b-759d-4bf3-b2c4-46512430b47d,"Financial position, financial performance and cash flows",,,,,,,,,,,,,
9c15cbb2-6a72-4ee8-9389-93799453a6d5,Group,6cd75084-df6b-4167-b17a-ee9ec410cdcc,34,,,,,,,,,An entity shall disclose information that enables users of general purpose financial reports to understand:,,,,
174c9423-bc3f-48f9-b1cf-e8ccbe25d709,Attribute,9c15cbb2-6a72-4ee8-9389-93799453a6d5,(a),,,,,,,,,"the effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and",,,,
6467f022-6820-4ef5-b497-4feb6050ffbd,Attribute,9c15cbb2-6a72-4ee8-9389-93799453a6d5,(b),,,,,,,,,"the anticipated effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how sustainability-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).",,,,
8fc3110c-e764-433c-91ba-84f950119a6a,Group,6cd75084-df6b-4167-b17a-ee9ec410cdcc,35,,,,,,,,,"Specifically, an entity shall disclose quantitative and qualitative information about:",,,,
223a16dd-24b4-41fd-bdda-fa0f57ef8ce1,Attribute,8fc3110c-e764-433c-91ba-84f950119a6a,(a),,,,,,,,S1.22a,"how sustainability-related risks and opportunities have affected its financial position, financial performance and cash flows for the reporting period;",,,,
0ba90a2c-f992-4d13-a7b5-92afe3a48b7d,Attribute,8fc3110c-e764-433c-91ba-84f950119a6a,(b),,,,,,,,S1.22b,the sustainability-related risks and opportunities identified in paragraph 35(a) for which there is a significant risk of a material adjustment within the next annual reporting period to the carrying amounts of assets and liabilities reported in the related financial statements;,,,,
5cb27640-c8d4-4a58-b662-0ce9f56e68a4,Group,8fc3110c-e764-433c-91ba-84f950119a6a,(c),,,,,,,,S1.22c,"how the entity expects its financial position to change over the short, medium and long term, given its strategy to manage sustainability-related risks and opportunities, taking into consideration:",,,,
9cc1c809-dbf3-4966-b3ba-870c940fd390,Attribute,5cb27640-c8d4-4a58-b662-0ce9f56e68a4,(i),,,,,,,,,"its investment and disposal plans (for example, plans for capital expenditure, major acquisitions and divestments, joint ventures, business transformation, innovation, new business areas, and asset retirements), including plans the entity is not contractually committed to; and",,,,
aabaeb33-9760-4b65-a074-41934566a86a,Attribute,5cb27640-c8d4-4a58-b662-0ce9f56e68a4,(ii),,,,,,,,,its planned sources of funding to implement its strategy; and,,,,
5d3144d1-8bb4-47aa-983a-457a35782bb1,Attribute,8fc3110c-e764-433c-91ba-84f950119a6a,(d),,,,,,,,S1.22d,"how the entity expects its financial performance and cash flows to change over the short, medium and long term, given its strategy to manage sustainability-related risks and opportunities.",,,,
decb24fe-1b50-4006-949e-823186e97635,Attribute,6cd75084-df6b-4167-b17a-ee9ec410cdcc,36,,,,,,,,,"In providing quantitative information, an entity may disclose a single amount or a range.",,,,
c7463a20-0fb4-4fa8-b6f3-1c087ffefb0e,Group,6cd75084-df6b-4167-b17a-ee9ec410cdcc,37,,,,,,,,,"In preparing disclosures about the anticipated financial effects of a sustainability-related risk or opportunity, an entity shall:",,,,
f77cbaf1-cf74-40c4-a29f-22a351fac395,Attribute,c7463a20-0fb4-4fa8-b6f3-1c087ffefb0e,(a),,,,,,,,,use all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort (see paragraphs B8⁠–⁠B10); and,,,,
237566ff-73cf-4677-890c-e3c4818f8855,Attribute,c7463a20-0fb4-4fa8-b6f3-1c087ffefb0e,(b),,,,,,,,,"use an approach that is commensurate with the skills, capabilities and resources that are available to the entity for preparing those disclosures.",,,,
1661e453-d5a5-4695-8270-38e5d0d5c7f8,Group,6cd75084-df6b-4167-b17a-ee9ec410cdcc,38,,,,,,,,,An entity need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity if the entity determines that:,,,,
83a5a9b6-f6a1-458a-a500-5cf6dde756d8,Attribute,1661e453-d5a5-4695-8270-38e5d0d5c7f8,(a),,,,,,,,,those effects are not separately identifiable; or,,,,
72459243-63f2-40a4-ac71-177253d8a37a,Attribute,1661e453-d5a5-4695-8270-38e5d0d5c7f8,(b),,,,,,,,,the level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful (see paragraphs 77⁠–⁠82).,,,,
c81e1838-4a20-4828-b6a2-3cf59cd8a8c0,Attribute,6cd75084-df6b-4167-b17a-ee9ec410cdcc,39,,,,,,,,,"In addition, an entity need not provide quantitative information about the anticipated financial effects of a sustainability-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.",,,,
7767f0d2-3b27-491c-93d1-aef2e568ab5d,Group,6cd75084-df6b-4167-b17a-ee9ec410cdcc,40,,,,,,,,,"If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity applying the criteria set out in paragraphs 38⁠–⁠39, the entity shall:",,,,
e3db4f6e-527a-49f8-81ba-e506eae5a920,Attribute,7767f0d2-3b27-491c-93d1-aef2e568ab5d,(a),,,,,,,,,explain why it has not provided quantitative information;,,,,
eab2e3b1-3337-455c-a0fd-e2a56c61a26e,Attribute,7767f0d2-3b27-491c-93d1-aef2e568ab5d,(b),,,,,,,,,"provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that sustainability-related risk or opportunity; and",,,,
358760c0-a11b-4330-bdd7-56efd5c0772f,Attribute,7767f0d2-3b27-491c-93d1-aef2e568ab5d,(c),,,,,,,,,provide quantitative information about the combined financial effects of that sustainability-related risk or opportunity with other sustainability-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.,,,,
fd49bdbf-c8e3-4539-b125-c2581d765a4e,Group,7de1da8b-759d-4bf3-b2c4-46512430b47d,Resilience,,,,,,,,,,,,,
97c0f7d3-2d29-42b0-978d-c31dc316b415,Attribute,fd49bdbf-c8e3-4539-b125-c2581d765a4e,41,,,,,,,,S1.23,"An entity shall disclose information that enables users of general purpose financial reports to understand its capacity to adjust to the uncertainties arising from sustainability-related risks. An entity shall disclose a qualitative and, if applicable, quantitative assessment of the resilience of its strategy and business model in relation to its sustainability-related risks, including information about how the assessment was carried out and its time horizon. When providing quantitative information, an entity may disclose a single amount or a range.",,,,
f54063bc-9a84-4a0b-8be9-3482f9faac05,Attribute,fd49bdbf-c8e3-4539-b125-c2581d765a4e,42,,,,,,,,,"Other IFRS Sustainability Disclosure Standards may specify the type of information an entity is required to disclose about its resilience to specific sustainability-related risks and how to prepare those disclosures, including whether a scenario analysis is required.",,,,
362005fd-31ee-48d6-a0f9-284c72b49c09,Object,544212a4-19bc-451f-a63c-c6dd8f3fb8cb,Risk management,,,,,,,,Risk Management,,,,,
e27932c8-fb96-4a32-bd0b-3c1400706580,Group,362005fd-31ee-48d6-a0f9-284c72b49c09,43,,,,,,,,,The objective of sustainability-related financial disclosures on risk management is to enable users of general purpose financial reports:,,,,
aa8d7d68-d981-46cc-82c9-eab9c4484804,Attribute,e27932c8-fb96-4a32-bd0b-3c1400706580,(a),,,,,,,,,"to understand an entity’s processes to identify, assess, prioritise and monitor sustainability-related risks and opportunities, including whether and how those processes are integrated into and inform the entity’s overall risk management process; and",,,,
b9e04465-6173-4aad-8c3c-f0e0a024f9bf,Attribute,e27932c8-fb96-4a32-bd0b-3c1400706580,(b),,,,,,,,,to assess the entity’s overall risk profile and its overall risk management process.,,,,
1923a6d6-ec0e-4565-b933-0a70276d0fc8,Group,362005fd-31ee-48d6-a0f9-284c72b49c09,44,,,,,,,,S1.26a,"To achieve this objective, an entity shall disclose information about:",,,,
3c6eeb76-257c-4119-9208-b818088a8bee,Group,1923a6d6-ec0e-4565-b933-0a70276d0fc8,(a),,,,,,,,S1.26b,"the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about:",,,,
7e16b94c-a172-449c-b3f5-2b7a5f9de8ba,Attribute,3c6eeb76-257c-4119-9208-b818088a8bee,(i),,,,,,,,,"the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes);",,,,
07c6eb69-93a9-4189-ae59-be39c4cd70e7,Attribute,3c6eeb76-257c-4119-9208-b818088a8bee,(ii),,,,,,,,,whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks;,,,,
42a268eb-746d-4d42-9569-d4035758595d,Attribute,3c6eeb76-257c-4119-9208-b818088a8bee,(iii),,,,,,,,,"how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria);",,,,
c510d957-b3f6-40f8-b2f1-87d4bdeba4fb,Attribute,3c6eeb76-257c-4119-9208-b818088a8bee,(iv),,,,,,,,,whether and how the entity prioritises sustainability-related risks relative to other types of risk;,,,,
f900d9a9-5f00-4808-8937-dfd3f16a5b85,Attribute,3c6eeb76-257c-4119-9208-b818088a8bee,(v),,,,,,,,S1.26d,how the entity monitors sustainability-related risks; and,,,,
c513f750-caf6-416d-b890-a709fca4598d,Attribute,3c6eeb76-257c-4119-9208-b818088a8bee,(vi),,,,,,,,,whether and how the entity has changed the processes it uses compared with the previous reporting period;,,,,
984204d1-a32b-4971-ad4a-6d44e6de4a32,Attribute,1923a6d6-ec0e-4565-b933-0a70276d0fc8,(b),,,,,,,,S1.26c,"the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and",,,,
bf59bb23-eae0-4dbf-a9e7-10aabad99be3,Attribute,1923a6d6-ec0e-4565-b933-0a70276d0fc8,(c),,,,,,,,S1.26e,"the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",,,,
6b644656-b90d-4235-8eb3-a742acf79190,Object,544212a4-19bc-451f-a63c-c6dd8f3fb8cb,Metrics and targets,,,,,,,,Metrics and Targets,,,,,
f6234b44-3c2c-46d6-a2e3-343e0218500c,Attribute,6b644656-b90d-4235-8eb3-a742acf79190,45,,,,,,,,,"The objective of sustainability-related financial disclosures on metrics and targets is to enable users of general purpose financial reports to understand an entity’s performance in relation to its sustainability-related risks and opportunities, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",,,,
d86fde08-6793-4967-af9a-3c666012a17c,Group,6b644656-b90d-4235-8eb3-a742acf79190,46,,,,,,,,S1.30,"An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects:",,,,
ce73cf5d-9657-4498-8d96-945423e85a9b,Attribute,d86fde08-6793-4967-af9a-3c666012a17c,(a),,,,,,,,,metrics required by an applicable IFRS Sustainability Disclosure Standard; and,,,,
2b87364b-2783-425b-b61c-ecf5d80f3740,Group,d86fde08-6793-4967-af9a-3c666012a17c,(b),,,,,,,,,metrics the entity uses to measure and monitor:,,,,
b5d8a68f-99fb-4a69-883c-557215a8d868,Attribute,2b87364b-2783-425b-b61c-ecf5d80f3740,(i),,,,,,,,,that sustainability-related risk or opportunity; and,,,,
26c259aa-758f-4dea-a8e1-0415c2dc9fee,Attribute,2b87364b-2783-425b-b61c-ecf5d80f3740,(ii),,,,,,,,,"its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",,,,
5d0a0bfa-5aa6-4947-925a-e6d85db69bca,Attribute,6b644656-b90d-4235-8eb3-a742acf79190,47,,,,,,,,,"In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply paragraphs 57⁠–⁠58 to identify applicable metrics.",,,,
888bc3e3-2ade-46b4-a20d-dfecd63cd247,Attribute,6b644656-b90d-4235-8eb3-a742acf79190,48,,,,,,,,,"Metrics disclosed by an entity applying paragraphs 45⁠–⁠46 shall include metrics associated with particular business models, activities or other common features that characterise participation in an industry.",,,,
d3b1b237-f268-4475-9fec-4c13c8975899,Attribute,6b644656-b90d-4235-8eb3-a742acf79190,49,,,,,,,,,"If an entity discloses a metric taken from a source other than IFRS Sustainability Disclosure Standards, the entity shall identify the source and the metric taken.",,,,
c9f6061b-8264-49ce-8c0f-7d106eeadf36,Group,6b644656-b90d-4235-8eb3-a742acf79190,50,,,,,,,,,"If a metric has been developed by an entity, the entity shall disclose information about:",,,,
08f6adb4-109d-4273-a2f1-9dc00de4b80a,Attribute,c9f6061b-8264-49ce-8c0f-7d106eeadf36,(a),,,,,,,,S1.31a,"how the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and how the metric disclosed by the entity differs from the metric specified in that source;",,,,
298e6d64-c34e-4b48-9104-4c307d758a71,Attribute,c9f6061b-8264-49ce-8c0f-7d106eeadf36,(b),,,,,,,,,"whether the metric is an absolute measure, a measure expressed in relation to another metric or a qualitative measure (such as a red, amber, green—or RAG—status);",,,,
69ae1d1b-349b-41b8-9e54-23b0fb92b051,Attribute,c9f6061b-8264-49ce-8c0f-7d106eeadf36,(c),,,,,,,,S1.31b,"whether the metric is validated by a third party and, if so, which party; and",,,,
61511fe7-d6a2-4aba-9c5d-74f70daaab51,Attribute,c9f6061b-8264-49ce-8c0f-7d106eeadf36,(d),,,,,,,,S1.31c,"the method used to calculate the metric and the inputs to the calculation, including the limitations of the method used and the significant assumptions made.",,,,
4ac745e9-05bb-412a-ab78-c0b7f1bf7fe1,Group,6b644656-b90d-4235-8eb3-a742acf79190,51,,,,,,,,S1.32,"An entity shall disclose information about the targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation. For each target, the entity shall disclose:",,,,
e11fc027-e4a2-44eb-9120-4143fe6a3952,Attribute,4ac745e9-05bb-412a-ab78-c0b7f1bf7fe1,(a),,,,,,,,S1.32a,the metric used to set the target and to monitor progress towards reaching the target;,,,,
be16c97b-6a9c-4783-9dee-dd28416abc56,Attribute,4ac745e9-05bb-412a-ab78-c0b7f1bf7fe1,(b),,,,,,,,,the specific quantitative or qualitative target the entity has set or is required to meet;,,,,
3dbd9571-9b19-40ec-a651-6aa1b296d244,Attribute,4ac745e9-05bb-412a-ab78-c0b7f1bf7fe1,(c),,,,,,,,S1.32b,the period over which the target applies;,,,,
0272cc62-ca6e-4fd8-b56e-762d8e2853ad,Attribute,4ac745e9-05bb-412a-ab78-c0b7f1bf7fe1,(d),,,,,,,,S1.32c,the base period from which progress is measured;,,,,
a007341e-0b0d-45a2-bc61-0f98c2c92ae3,Attribute,4ac745e9-05bb-412a-ab78-c0b7f1bf7fe1,(e),,,,,,,,S1.32d,any milestones and interim targets;,,,,
3907450d-a5e5-4cd6-9abd-b5ad7f713523,Attribute,4ac745e9-05bb-412a-ab78-c0b7f1bf7fe1,(f),,,,,,,,S1.33a,performance against each target and an analysis of trends or changes in the entity’s performance; and,,,,
1fd0a48c-2250-4378-a420-c74e073b404a,Attribute,4ac745e9-05bb-412a-ab78-c0b7f1bf7fe1,(g),,,,,,,,S1.33b,any revisions to the target and an explanation for those revisions.,,,,
b5a6a376-9a09-481a-ab9e-407f8cee2d81,Attribute,6b644656-b90d-4235-8eb3-a742acf79190,52,,,,,,,,S1.34,"The definition and calculation of metrics, including metrics used to set the entity’s targets and monitor progress towards reaching them, shall be consistent over time. If a metric is redefined or replaced, an entity shall apply paragraph B52.",,,,
1fad0b8b-a08e-45b6-accd-040d4e797799,Attribute,6b644656-b90d-4235-8eb3-a742acf79190,53,,,,,,,,,"An entity shall label and define metrics and targets using meaningful, clear and precise names and descriptions.",,,,
5995bdb5-0b8d-4a23-88a6-c41f3f4c9032,Layer,,IFRS S2: Climate-related Disclosures,,,,,,,,,,,,,
f6f7e0c1-0ea5-437d-af87-1087c6f9f174,Object,5995bdb5-0b8d-4a23-88a6-c41f3f4c9032,Governance,,,,,,,,,,,,,
71510a40-5f07-42af-a893-901e51b45ded,Attribute,f6f7e0c1-0ea5-437d-af87-1087c6f9f174,5,,,,,,,,,"The objective of climate-related financial disclosures on governance is to enable users of general purpose financial reports to understand the governance processes, controls and procedures an entity uses to monitor, manage and oversee climate-related risks and opportunities.",,,,
5a955e28-5d02-4758-8a96-cf08951cd113,Group,f6f7e0c1-0ea5-437d-af87-1087c6f9f174,6,,,,,,,,,"To achieve this objective, an entity shall disclose information about:",,,,
c21df3e9-4b43-4f59-b97c-63238c4eeb1a,Group,5a955e28-5d02-4758-8a96-cf08951cd113,(a),,,,,,,,,"the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of climate-related risks and opportunities. Specifically, the entity shall identify that body(s) or individual(s) and disclose information about:",Part,Part,Part,
2e639db2-d563-4d12-bda3-544912363c95,Attribute,c21df3e9-4b43-4f59-b97c-63238c4eeb1a,(i),,,,,,,,,"how responsibilities for climate-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s);",Part,Part,,
d2f88ce2-4006-42f6-8e0d-b8d2778bc278,Attribute,c21df3e9-4b43-4f59-b97c-63238c4eeb1a,(ii),,,,,,,,,how the body(s) or individual(s) determines whether appropriate skills and competencies are available or will be developed to oversee strategies designed to respond to climate-related risks and opportunities;,Part,Part,Part,
7d0b8474-6371-4766-ae8d-fce04fefc3a7,Attribute,c21df3e9-4b43-4f59-b97c-63238c4eeb1a,(iii),,,,,,,,,how and how often the body(s) or individual(s) is informed about climate-related risks and opportunities;,Yes,Yes,Yes,
df12b5a7-85d5-456c-b48b-b8b86b975a36,Attribute,c21df3e9-4b43-4f59-b97c-63238c4eeb1a,(iv),,,,,,,,,"how the body(s) or individual(s) takes into account climate-related risks and opportunities when overseeing the entity’s strategy, its decisions on major transactions and its risk management processes and related policies, including whether the body(s) or individual(s) has considered trade-offs associated with those risks and opportunities; and",Yes,Yes,Yes,
50a56c3c-71ee-4470-a83f-7de7b88824af,Attribute,c21df3e9-4b43-4f59-b97c-63238c4eeb1a,(v),,,,,,,,,"how the body(s) or individual(s) oversees the setting of targets related to climate-related risks and opportunities, and monitors progress towards those targets (see paragraphs 33⁠–⁠36), including whether and how related performance metrics are included in remuneration policies (see paragraph 29(g)).",Yes,Part,Yes,
