ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Comments,Connected to other Frameworks,Footnotes,KPI,Unit of Measure,Example,Rationale,Alignment with Other Reporting Frameworks,EU Policy Reference
0c32c253-37c1-41c6-b826-3da45425f820,Attribute,88c25cbc-3be9-4017-8f91-04da93b70cda,6,,,,,,,,"Describe how the company’s activities contribute to climate change via GHG emissions, including from deforestation, forest degradation or land-use change.",,,,,,,,
c45b85e8-b7e2-4090-b5b3-a427d1aaa89e,Object,422b7c9b-40f9-4ece-ba15-6871f7dcb28d,3.2.   Policies and Due Diligence Processes,,,,,,,,,,,,,,,,
06fb62d6-534b-4b74-a10e-ee93fcd40dc0,Group,c45b85e8-b7e2-4090-b5b3-a427d1aaa89e,Disclosure on Policies and Due Diligence Processes,,,,,,,,,,,,,,,,
dd96ed4d-f400-47e7-a487-d64c277f2b89,Attribute,06fb62d6-534b-4b74-a10e-ee93fcd40dc0,1,,,,,,,,"Describe any company policies related to climate, including any climate change mitigation or adaptation policy.",,,,,,,,
422eeb0e-afaa-487b-bdab-19bfed54533d,Attribute,06fb62d6-534b-4b74-a10e-ee93fcd40dc0,2,,,,,,,,"Describe any climate-related targets the company has set as part of its policies, especially any GHG emissions targets, and how company targets relate to national and international targets and to the Paris Agreement in particular.",,,,,,,,
821bf35e-b904-4e5f-96cd-0318ffb7c55c,Attribute,06fb62d6-534b-4b74-a10e-ee93fcd40dc0,3,,,,,,,,Describe the board’s oversight of climate-related risks and opportunities.,TCFD recommendation Governance a,,,,,,,
05e6ad50-6d11-408c-8000-ec11edfd1a87,Attribute,06fb62d6-534b-4b74-a10e-ee93fcd40dc0,4,,,,,,,,Describe management’s role in assessing and managing climate-related risks and opportunities and explain the rationale for the approach.,TCFD recommendation Governance b,,,,,,,
66618d3a-fd04-4022-9f66-d3db8e6f66df,Group,c45b85e8-b7e2-4090-b5b3-a427d1aaa89e,Further guidance:,,,,,,,,,,,,,,,,
2e7891eb-a0cc-45a4-b6b0-1e64790dfbe5,Attribute,66618d3a-fd04-4022-9f66-d3db8e6f66df,1,,,,,,,,"Describe the company’s engagement with its value chain on climate-related issues, explaining how it engages with upstream and downstream partners to promote climate mitigation and/or adaptation.",,,,,,,,
e6dccfb5-c334-43a9-95ae-0dabc7b9036e,Attribute,66618d3a-fd04-4022-9f66-d3db8e6f66df,2,,,,,,,,Explain how climate-related issues are integrated into the company’s operational decision-making processes.,,,,,,,,
ad4b2db1-fba1-4e4a-9cd9-68c9e9cc19ac,Attribute,66618d3a-fd04-4022-9f66-d3db8e6f66df,3,,,,,,,,"Describe any public policy engagement on climate-related issues undertaken by the company, including membership of any relevant organisations or interest groups.",,,,,,,,
6f255466-ac54-4534-a993-6ad193ecd562,Attribute,66618d3a-fd04-4022-9f66-d3db8e6f66df,4,,,,,,,,"Describe whether, how and at what levels (in particular board and management) the company has access to expertise on climate-related issues, either from its own internal capacity and/or from external sources.",,,,,,,,
53940382-4618-4ce2-9407-ac3d0dd7962c,Attribute,66618d3a-fd04-4022-9f66-d3db8e6f66df,5,,,,,,,,"Describe any employee policies that are related to the climate, for example investments in skills necessary for the transition to low-carbon technologies, or measures to ensure employees can perform theirs tasks safely in a changing climate.",,,,,,,,
4c98c71f-7c2b-4f80-9bff-42ec43cdbc46,Attribute,66618d3a-fd04-4022-9f66-d3db8e6f66df,6,,,,,,,,"Describe whether and how the company’s remuneration policy takes account of climate-related performance, including performance against targets set.",,,,,,,,
8c563983-934c-446a-a189-6d45b3d48cec,Attribute,66618d3a-fd04-4022-9f66-d3db8e6f66df,7,,,,,,,,Disclose any energy-related targets the company has set as part of its policies (see Section 3.5),,,,,,,,
339b83ee-e23a-4151-b5d2-4f9ddb6f51d2,Attribute,66618d3a-fd04-4022-9f66-d3db8e6f66df,8,,,,,,,,Explain the reasoning behind the selection of any climate-related targets used by the company.,,,,,,,,
4da776a2-08ff-4b6e-8fe0-aadd7218ca3a,Attribute,66618d3a-fd04-4022-9f66-d3db8e6f66df,9,,,,,,,,"In the case of land sector companies, describe any targets related to GHG “sinks” (GHG absorption).",,,,,,,,
382ccc84-4492-45ac-8136-5c26a4da5f62,Object,422b7c9b-40f9-4ece-ba15-6871f7dcb28d,3.3.   Outcomes,,,,,,,,,,,,,,,,
fd6e453e-0cb7-4ac1-8efe-e61afd80d684,Group,382ccc84-4492-45ac-8136-5c26a4da5f62,Disclosure on Outcomes,,,,,,,,,,,,,,,,
d46c8e5c-90d0-4cf5-bc38-0d1efc9ed81c,Attribute,fd6e453e-0cb7-4ac1-8efe-e61afd80d684,1,,,,,,,,"Describe the outcomes of the company's policy on climate change, including the performance of the company against the indicators used and targets set to manage climate-related risks and opportunities.",TCFD Metrics and targets c,,,,,,,
5176535c-ec20-4be0-beda-de0dccea3b39,Attribute,fd6e453e-0cb7-4ac1-8efe-e61afd80d684,2,,,,,,,,Describe the development of GHG emissions against the targets set and the related risks over time.,TCFD Metrics and targets b,,,,,,,
d247cc8d-e2cc-4fbd-a3e1-ffeea85bb8f5,Group,382ccc84-4492-45ac-8136-5c26a4da5f62,Further guidance:,,,,,,,,,,,,,,,,
f807c3ce-1ad4-4390-a948-67ec6005e5ba,Attribute,d247cc8d-e2cc-4fbd-a3e1-ffeea85bb8f5,1,,,,,,,,"Describe how the performance of the company with regard to climate influences its financial performance, where possible with reference to financial KPIs.",,,,,,,,
d798637d-069a-4b28-81eb-2f6336daae71,Object,422b7c9b-40f9-4ece-ba15-6871f7dcb28d,3.4.   Principal Risks and their Management,,,,,,,,,,,,,,,,
d8e7ff0a-05b8-45c9-a679-dbadd22d8ebd,Group,d798637d-069a-4b28-81eb-2f6336daae71,Disclosure on Principal Risks and Their Management,,,,,,,,,,,,,,,,
07604717-8142-42b6-92ae-e1bc08740220,Attribute,d8e7ff0a-05b8-45c9-a679-dbadd22d8ebd,1,,,,,,,,"Describe the company’s processes for identifying and assessing climate-related risks over the short, medium, and long term and disclose how the company defines short, medium, and long term (21).",TCFD recommendation Risk management a,"(21)  The definition of short, medium and long term is likely to depend on the company’s business model and the life cycle of its assets and liabilities.",,,,,,
0a083eba-c0b2-4625-b9cf-b4f145b91161,Attribute,d8e7ff0a-05b8-45c9-a679-dbadd22d8ebd,2,,,,,,,,"Describe the principal climate-related risks the company has identified over the short, medium, and long term throughout the value chain, and any assumptions that have been made when identifying these risks. This description should include the principal risks resulting from any dependencies on natural capitals threatened by climate change, such as water, land, ecosystems or biodiversity.",TCFD recommendation Strategy a,,,,,,,
f8624d46-157e-47ed-a2f1-54a29ab53cbf,Attribute,d8e7ff0a-05b8-45c9-a679-dbadd22d8ebd,3,,,,,,,,"Describe processes for managing climate-related risks (if applicable how they make decisions to mitigate, transfer, accept, or control those risks), and how the company is managing the particular climate-related risks that it has identified.",TCFD recommendation Risk management b,,,,,,,
bccdc9c6-7643-47eb-ba12-1e9c0ccdeab4,Attribute,d8e7ff0a-05b8-45c9-a679-dbadd22d8ebd,4,,,,,,,,"Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the company’s overall risk management. An important aspect of this description is how the company determines the relative significance of climate-related risks in relation to other risks.",TCFD recommendation Risk management c,,,,,,,
5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,Group,d798637d-069a-4b28-81eb-2f6336daae71,Further guidance:,,,,,,,,,,,,,,,,
1f37a9ea-92c6-42eb-8589-bd62f182bdcb,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,1,,,,,,,,Describe any climate adaptation measures undertaken by the company as part of its risk management process.,,,,,,,,
4b3ac592-d2ad-4a2e-a2fc-6317d698d1f0,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,2,,,,,,,,Give a detailed breakdown of principal climate-related risks by business activity.,,,,,,,,
101dbac9-f725-4f60-bf69-dc27a878cb11,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,3,,,,,,,,Give a detailed breakdown of principal climate-related risks by geographical location.,,,,,,,,
38185d98-4786-4c08-8ac5-ad81f88d8a9d,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,4,,,,,,,,"Identify the locations that are critical to value chains, including operations, suppliers and markets.",,,,,,,,
f6933752-53cf-4a23-aa85-bb91ae6579a6,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,5,,,,,,,,"Describe how the company sets and applies limits to climate-related risks, including any triggers used to escalate issues to management attention.",,,,,,,,
10d195ae-c5da-4dfa-8aa7-06c08f195f21,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,6,,,,,,,,"Describe the processes for prioritising climate-related risks, including any thresholds applied and indicate which risks across the value chain are considered most significant.",,,,,,,,
4e3b0403-1df5-4d3a-887d-fd19c983a03d,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,7,,,,,,,,"Categorise the principal risks of climate change on the financial performance of the company according to whether they are transition risks (policy, legal, technological, market and reputational risks) or physical risks (acute and chronic risks).",,,,,,,,
907b01cd-16b6-4adc-8c88-ffadd99409a7,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,8,,,,,,,,Disclose any risk mapping that includes climate-related issues.,,,,,,,,
51ed77dd-3c5b-4116-ac63-504ff16c4df8,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,9,,,,,,,,Provide definitions of risk terminology used or references to existing risk classification frameworks used.,,,,,,,,
643e844f-c4df-4f6f-94e5-9dfdf2f75dd8,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,10,,,,,,,,Describe the frequency of reviews and analyses with regard to risk identification and assessment.,,,,,,,,
87802abc-5621-4191-b90e-95ac29a5befe,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,11,,,,,,,,Describe the linkages between principal climate-related risks and financial KPIs.,,,,,,,,
1823fd70-3e4c-4b90-9d7a-26ad8243bf94,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,12,,,,,,,,"Disclose how scenarios and/or internal carbon pricing are used for risk management actions such as mitigation, transfer or adaptation.",,,,,,,,
82509243-fd22-4d84-b23b-3a26d5b6fa7f,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,13,,,,,,,,"Disclose the financial impacts of extreme weather events, including possible indicators on days of business interruptions and associated costs, cost of repairs, fixed-asset impairment, value chain disruptions and lost revenues.",,,,,,,,
a3530bbd-4a2c-47a8-b545-10a7cc7920ac,Attribute,5c02a4c2-dc25-42a6-a60e-6e4b34ecc9f9,14,,,,,,,,"Describe how the company’s performance is affected by weather variability, in particular for companies sensitive to variability in temperature and precipitation.",,,,,,,,
f1ca8fe9-bb63-413b-b874-8f9d357ce1d7,Object,422b7c9b-40f9-4ece-ba15-6871f7dcb28d,3.5.   Key Performance Indicators,,,,,,,,,,,,,,,,
9216deab-da63-4905-aece-dd894e207454,Group,f1ca8fe9-bb63-413b-b874-8f9d357ce1d7,GHG emissions,,,,,,,,,,,,,,,,
6fcba5da-938d-447d-bf42-5afa721c43b2,Group,9216deab-da63-4905-aece-dd894e207454,Direct GHG emissions,,,,,,,,,,,,,,,,
d6f4da31-13dc-4496-b34c-dfea8cd9080f,Attribute,6fcba5da-938d-447d-bf42-5afa721c43b2,KPI,,,,,,,,"calculate their GHG emissions in line with the GHG Protocol methodology or the ISO 14064-1:2018 standard and, where appropriate, with the Commission Recommendation 179/2013 for common methods on measuring GHG performance following a lifecycle approach (Organisation Environmental Footprint and Product Environmental Footprint). This will allow for aggregation and comparability across companies and jurisdictions;
indicate the third-party verification/assurance status that applies to their reported scope 1, scope 2 and scope 3 GHG emissions",,(23)  A carbon dioxide equivalent or CO2 equivalent (CO2e) is a metric measure used to compare the emissions from various greenhouse gases on the basis,Direct GHG emissions from sources owned or controlled by the company (Scope 1),Metric tons CO2e (23),270 900 tCO2e,This KPI ensures companies are accurately measuring their carbon footprints from direct emissions.,"TCFD Metrics and Targets, CDP Climate Change Questionnaire, GRI 305, CDSB Framework, SASB, EMAS","EU emissions trading system (ETS)
2030 climate & energy framework"
05436618-0178-4b37-889d-f13b4f4d491d,Group,6fcba5da-938d-447d-bf42-5afa721c43b2,Further guidance:,,,,,,,,,,,,,,,,
c2c9bfd2-f1bc-4abf-8282-e0eeaabfaf26,Attribute,05436618-0178-4b37-889d-f13b4f4d491d,1,,,,,,,,"Companies should disclose 100 % of their Scope 1 GHG emissions. This will help to improve the quality of other companies’ GHG emissions reporting. If a company cannot collect reliable data for a proportion of its Scope 1 GHG emissions, it should make a reasonable estimate for that proportion in order to arrive at a figure for 100 %. In that case, the company should also disclose (1) the % of emissions for which reliable data have been collected and the % of emissions that have been estimated, (2) the reasons why reliable data could not be collected for a proportion of the emissions and (3) the methodology used to estimate the proportion of emissions for which reliable data could not be collected.",,,,,,,,
b2753be8-069f-43d6-9cb2-304ca9269c71,Attribute,05436618-0178-4b37-889d-f13b4f4d491d,2,,,,,,,,"Companies should, where appropriate, consider disclosing a breakdown of Scope 1 GHG emissions by country or region (including the EU), by business activity, and by subsidiary. E.g.: Scope 1 GHG emissions in country/region X 42 260 tCO2e, in country/region Y 54 180 tCO2e.",,,,,,,,
889f727d-69e9-4390-9390-5dea60c73755,Group,9216deab-da63-4905-aece-dd894e207454,Indirect GHG emissions,,,,,,,,,,,,,,,,
bf97b483-854e-4679-b4ef-9f5417e25361,Attribute,889f727d-69e9-4390-9390-5dea60c73755,KPI,,,,,,,,"calculate their GHG emissions in line with the GHG Protocol methodology or the ISO 14064-1:2018 standard and, where appropriate, with the Commission Recommendation 179/2013 for common methods on measuring GHG performance following a lifecycle approach (Organisation Environmental Footprint and Product Environmental Footprint). This will allow for aggregation and comparability across companies and jurisdictions;
indicate the third-party verification/assurance status that applies to their reported scope 1, scope 2 and scope 3 GHG emissions",,,"Indirect GHG emissions from the generation of acquired and consumed electricity, steam, heat, or cooling (collectively referred to as “electricity”) (Scope 2)",Metric tons CO2e,632 400 tCO2e,"This KPI ensure companies are measuring emissions from purchased or acquired electricity, steam, heat, and cooling.","TCFD Metrics and Targets, CDP Climate Change Questionnaire, GRI 305, CDSB Framework, EMAS",2030 climate & energy framework
2e6857ee-42b1-4ab2-8f3c-821ea44838e2,Group,889f727d-69e9-4390-9390-5dea60c73755,Further guidance:,,,,,,,,,,,,,,,,
21c6a000-dbdf-4597-a93b-4c3f6e5b0a4f,Attribute,2e6857ee-42b1-4ab2-8f3c-821ea44838e2,1,,,,,,,,"If necessary, companies should state whether there are any sources (e.g. facilities, specific GHGs, activities, geographies, etc.) of Scope 2 GHG emissions within their selected reporting boundary for which GHG emissions could not be collected or estimated, and the reasons for this.",,,,,,,,
48fc3e9c-0bdf-4700-baaf-6a7db985ce7a,Attribute,2e6857ee-42b1-4ab2-8f3c-821ea44838e2,2,,,,,,,,"Companies should, where appropriate, consider disclosing a breakdown of Scope 2 GHG emissions by country or region (including the EU), by business activity, and by subsidiary. E.g.: Scope 2 GHG emissions in country/region X 98 654 tCO2e, in country/region Y EU: 126 480 tCO2e.",,,,,,,,
0c5d8839-2817-440c-9627-cf6b6c6dc41e,Group,9216deab-da63-4905-aece-dd894e207454,All Indirect GHG emissions,,,,,,,,,,,,,,,,
a1cec457-10dd-462b-9241-6c517c34b976,Attribute,0c5d8839-2817-440c-9627-cf6b6c6dc41e,KPI,,,,,,,,"calculate their GHG emissions in line with the GHG Protocol methodology or the ISO 14064-1:2018 standard and, where appropriate, with the Commission Recommendation 179/2013 for common methods on measuring GHG performance following a lifecycle approach (Organisation Environmental Footprint and Product Environmental Footprint). This will allow for aggregation and comparability across companies and jurisdictions;
indicate the third-party verification/assurance status that applies to their reported scope 1, scope 2 and scope 3 GHG emissions",,,"All indirect GHG emissions (not included in scope 2) that occur in the value chain of the reporting company, including both upstream and downstream emissions (Scope 3)",Metric tons CO2e,4 383 000 tCO2e,"For most companies, the majority of emissions occur indirectly from value chain activities. This KPI helps to gauge the thoroughness of companies’ accounting processes and to understand how companies are analysing their emissions footprints.","TCFD Metrics and Targets, CDP Climate Change Questionnaire, GRI 305, CDSB Framework, EMAS",2030 climate & energy framework
83f70f3b-7324-4015-8158-87523374ebf4,Group,0c5d8839-2817-440c-9627-cf6b6c6dc41e,Further guidance:,,,,,,,,,,,,,,,,
d9573ca1-dba7-4514-b839-f2cde52173f8,Attribute,83f70f3b-7324-4015-8158-87523374ebf4,1,,,,,,,,Scope 3 should account for emissions from activities that occur “downstream” and “upstream” from the company’s own operations.,,,,,,,,
484e2110-d710-497c-8a6b-17a8ce410a88,Attribute,83f70f3b-7324-4015-8158-87523374ebf4,2,,,,,,,,"Companies should not exclude any activity that would compromise the relevance of the reported Scope 3 GHG emissions inventory. The GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard and Annex H of ISO 14064-1:2018 provide criteria for determining relevance. Companies should explain any excluded categories in their Scope 3 GHG emissions disclosure. When SMEs are part of the value chain, companies are encouraged to support them in providing the required information.",,,,,,,,
bc9361e9-d835-4a8a-b114-85e1af4c856f,Group,9216deab-da63-4905-aece-dd894e207454,GHG absolute emissions,,,,,,,,,,,,,,,,
165f9c3b-b39f-4fdd-bf4f-90671ca0ad77,Attribute,bc9361e9-d835-4a8a-b114-85e1af4c856f,KPI,,,,,,,,"calculate their GHG emissions in line with the GHG Protocol methodology or the ISO 14064-1:2018 standard and, where appropriate, with the Commission Recommendation 179/2013 for common methods on measuring GHG performance following a lifecycle approach (Organisation Environmental Footprint and Product Environmental Footprint). This will allow for aggregation and comparability across companies and jurisdictions;
indicate the third-party verification/assurance status that applies to their reported scope 1, scope 2 and scope 3 GHG emissions",,,GHG absolute emissions target,"Metric tons CO2e achieved or % reduction, from base year","20 % reduction in absolute emissions, equivalent to a 1 500 000 tCO2e reduction by 2025 from 2018 base year",Target setting provides direction and structure to environmental strategy. This KPI helps to understand companies' commitments to reducing emissions and whether the company has a goal towards which it is harmonising and focusing emissions-related efforts.,"TCFD Metrics and Targets, CDP Climate Change Questionnaire, GRI 103-2 and 305, CDSB Framework, SASB, EMAS",2030 climate & energy framework
15de004d-2689-4757-8b71-38bb11e78e97,Group,bc9361e9-d835-4a8a-b114-85e1af4c856f,Further guidance:,,,,,,,,,,,,,,,,
498543a3-1a49-4b14-ad50-e6098314a74d,Attribute,15de004d-2689-4757-8b71-38bb11e78e97,1,,,,,,,,"Companies should describe whether their target(s) relate(s) to their Scope 1, Scope 2 and/or Scope 3 GHG emissions either in full or in part.",,,,,,,,
4905cc7b-5c70-4422-95f1-bf8da7348ad6,Attribute,15de004d-2689-4757-8b71-38bb11e78e97,2,,,,,,,,Companies should describe the development of GHG emissions against the targets set (see Section 3.3 Outcomes).,,,,,,,,
135fef4f-50ca-422a-a460-d9a1cb26140d,Attribute,15de004d-2689-4757-8b71-38bb11e78e97,3,,,,,,,,Companies should consider setting targets for 2025 or 2030 and review them every five years. They may also consider setting a target for 2050 to align with the Paris Agreement.,,,,,,,,
a67a4c90-74e0-4d9b-a36c-2c9dd1130db5,Attribute,15de004d-2689-4757-8b71-38bb11e78e97,4,,,,,,,,"Companies should, where appropriate, consider disclosing GHG emissions targets by country or region (including the EU), by business activity, and by subsidiary.",,,,,,,,
148de0b7-56fd-4a5a-bc00-24e259eaec5b,Attribute,15de004d-2689-4757-8b71-38bb11e78e97,5,,,,,,,,"Companies may consider disclosing an additional intensity target expressed in metric tons CO2e per business metric or % reduction of intensity metric, from base year (e.g. 8 % reduction in relative emissions, equivalent to a reduction of 350 tCO2e per EUR 1 million turnover by 2025 from 2018 base year).",,,,,,,,
d7b653f0-e931-4275-b769-c6bb5d56498b,Group,f1ca8fe9-bb63-413b-b874-8f9d357ce1d7,Energy,,,,,,,,,,,,,,,,
95020f1e-da56-4b49-b32b-68e353eebcd5,Group,d7b653f0-e931-4275-b769-c6bb5d56498b,Total energy consumption,,,,,,,,,,,,,,,,
f5422690-99c3-4ccd-ae25-00a61e747ce1,Attribute,95020f1e-da56-4b49-b32b-68e353eebcd5,KPI,,,,,,,,,,,Total energy consumption and/or production from renewable and non-renewable sources,MWh,"292 221 MWh consumed from renewable sources;

1 623 453 MWh consumed from non-renewable sources",Energy consumption and production accounts for an important proportion of GHG emissions.,"TCFD Metrics and Targets, CDP Climate Change Questionnaire, GRI 302, CDSB Framework, SASB, EMAS",2030 climate & energy framework; Energy Efficiency Directive
0833e253-e01d-4e06-8335-3c95b063bfb8,Group,95020f1e-da56-4b49-b32b-68e353eebcd5,Further guidance:,,,,,,,,,,,,,,,,
7b1bc0dd-cfa9-4001-b1e3-5d7ee585fbd3,Attribute,0833e253-e01d-4e06-8335-3c95b063bfb8,1,,,,,,,,Fuels consumed as feedstock are not combusted for energy purposes and should not be included in calculations for this indicator.,,,,,,,,
e6e28057-01ee-48ca-a96b-afe70159597f,Attribute,0833e253-e01d-4e06-8335-3c95b063bfb8,2,,,,,,,,"Include a breakdown of the different sources of renewable energy. Renewable sources of energy are those that can be naturally replenished on a human timescale, such as wind, solar, hydro, geothermal, biomass, etc. This definition excludes all fossil fuels (coal, oil, natural gas) and nuclear fuels. Waste energy should not be included if it is derived from fossil fuels (24)",,(24)  Definition of “renewable energy” from the CDP Climate Change Reporting Guidance 2018,,,,,,
9336a2e2-1a09-434b-8687-ffc9a1565cb4,Attribute,0833e253-e01d-4e06-8335-3c95b063bfb8,3,,,,,,,,"When disclosing non-renewable sources of energy, make a distinction between low carbon sources and other sources of non-renewable energy.",,,,,,,,
ea595fb3-864b-4540-ba58-64ece1e88539,Group,d7b653f0-e931-4275-b769-c6bb5d56498b,Energy efficiency target,,,,,,,,,,,,,,,,
2ab43f91-3e52-4633-ad51-7d30d96e0f8f,Attribute,ea595fb3-864b-4540-ba58-64ece1e88539,KPI,,,,,,,,,,,Energy efficiency target,Percentage,"6,5 % improvement by 2025 from 2018 base year for product, output or activity.","This KPI helps data users understand the companies’ ambition to use energy more efficiently, which can reduce its energy costs and lower GHG emissions. It provides further background as to how the company aims to achieve its emissions reduction targets.","TCFD Metrics and Targets, CDP Climate Change Questionnaire, GRI 103-2 and 302, SASB, EMAS",2030 climate & energy framework; Energy Efficiency Directive
8e155e63-5b1f-4033-9210-996ee1ac15e7,Group,ea595fb3-864b-4540-ba58-64ece1e88539,Further guidance:,,,,,,,,,,,,,,,,
7ff1b77b-6ff8-40ce-af4a-9fa0a9c7f064,Attribute,8e155e63-5b1f-4033-9210-996ee1ac15e7,1,,,,,,,,Companies should describe progress against the energy targets set (see Section 3.3 Outcomes).,,,,,,,,
0dce032c-1d02-47ba-b4c4-84406a9d4a6b,Group,d7b653f0-e931-4275-b769-c6bb5d56498b,Renewable energy,,,,,,,,,,,,,,,,
ecc1f5d6-6551-46c5-b020-0b110a1e54f0,Attribute,0dce032c-1d02-47ba-b4c4-84406a9d4a6b,KPI,,,,,,,,,,,Renewable energy consumption and/or production target,% increase of the proportion of renewable energy consumed / produced from base year,13 % increase of the proportion of renewable energy consumed by 2025 from 2018 base year,This KPI helps data users understand the companies’ ambition to produce or consume energy with lower GHG emissions.,"TCFD Metrics and Targets, CDP Climate Change Questionnaire, GRI 103-2 and 302, EMAS",2030 climate & energy framework; Renewable Energy Directive
5f8a45a4-fc25-442c-9f20-4fde8220bd4b,Group,0dce032c-1d02-47ba-b4c4-84406a9d4a6b,Further guidance:,,,,,,,,,,,,,,,,
916ab305-0d37-4b0b-b11f-2ce97c733ff3,Attribute,5f8a45a4-fc25-442c-9f20-4fde8220bd4b,1,,,,,,,,Companies should describe progress against the energy targets set (see Section 3.3 Outcomes).,,,,,,,,
bbdb9b77-f7f0-48dc-8a55-f667509de06f,Group,f1ca8fe9-bb63-413b-b874-8f9d357ce1d7,Physical Risks,,,,,,,,,,,,,,,,
0d86ea6e-de91-4eec-9749-53c1a9cfef94,Group,bbdb9b77-f7f0-48dc-8a55-f667509de06f,Physical climate risks,,,,,,,,,,,,,,,,
851ad780-b25d-42c5-8fea-5423b36715ad,Attribute,0d86ea6e-de91-4eec-9749-53c1a9cfef94,KPI,,,,,,,,,,,Assets committed in regions likely to become more exposed to acute or chronic physical climate risks,Percentage,15 % of book value of exposed real assets,Extreme weather events can result in interruptions to or limitations on production capacity or early curtailment of operating facilities. The value of assets in areas exposed to increased weather informs the potential implications for asset valuation. It is important to observe this KPI in conjunction with disclosures regarding the company’s adaptation strategies and policies.,"TCFD Metrics and Targets, all 450a.1 SASB codes within select industries",EU Adaptation Strategy
9e5a58b6-e128-47e1-b630-7c6d61d342bf,Group,0d86ea6e-de91-4eec-9749-53c1a9cfef94,Further guidance:,,,,,,,,,,,,,,,,
