ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Description,Additional Info,Quant_Qual
72760c20-f608-48a7-a9c1-df653cba0503,Attribute,b9002cd2-c660-4920-a5cc-0a67431071ea,G2-5 – Anti-corruption and anti-bribery training,,,,,,,,The undertaking shall provide information about any anti-corruption and antibribery training programmes offered.,"The disclosure required by paragraph 30 shall include information about the following: (a) identification or definition of the persons within the undertaking who are most at risk in respect of corruption/bribery; (b) the nature and scope (including location and staff included) of anti-corruption/antibribery training programmes offered or required by the undertaking;
(c) the scope and depth covered by the training programmes provided;
(d) the percentage of persons who are most at risk covered by training programmes;
(e) the assessment methodology to ascertain whether the target audience acquired
the necessary knowledge.",Qualitative
81d89227-b5fc-43a1-9ee4-a9010e754d82,Attribute,b9002cd2-c660-4920-a5cc-0a67431071ea,G2-6 – Corruption or bribery events,,,,,,,,The undertaking shall provide information on legal proceedings related to corruption or bribery during the reporting period.,"The disclosure required by paragraph 36 shall include information about the following: (a) the main outcomes of legal proceedings related to corruption or bribery against the undertaking or its employees, concluded during the reporting period, including sanctions and fines. This shall include the number of convictions and the amount of fines for violation of anti-corruption and anti-bribery laws4; (b) details of ongoing legal proceedings against the undertaking and its employees related to corruption or bribery; (c) the number of investigations into and decisions in which employees were dismissed or disciplined for corruption or bribery-related incidents; and (d) the number of investigations into and decisions relating to contracts with business partners that were terminated or not renewed due to violations related to corruption or bribery.",Qualitative
4f401357-f960-4401-8fc1-1824eb4aa310,Attribute,b9002cd2-c660-4920-a5cc-0a67431071ea,G2-7 – Anti-competitive behaviour events,,,,,,,,The undertaking shall provide information on any publicly announced investigation into or litigation concerning possible anti-competitive behaviour it is facing during the reporting period.,"The disclosure required by paragraph 40 shall include the following information: (a) investigations into and decisions relating to violations of anti-trust and monopoly legislation where the undertaking (or its subsidiaries) was named as a participant by a competent authority; (b) number of new, continuing, or finalised legal action (separately) during the reporting period regarding anti-competitive behaviour; (c) main outcome of legal proceedings against the undertaking concluded during the reporting period, including sanctions, fines and damages orders.",Qualitative
cd81a8f8-23f4-4eaf-a2aa-896ab90dbc92,Attribute,b9002cd2-c660-4920-a5cc-0a67431071ea,G2-8 – Beneficial ownership,,,,,,,,The undertaking shall provide information about its beneficial owners (as defined in article 3(6) of Directive (EU) 2015/849) and control structure.,"The disclosure required by paragraph 43 shall include information on the identity of who the ultimate beneficial owners or those who control the undertaking are, together with their respective ownership or control percentages.",Qualitative
19d68d2b-2841-45d6-88d2-b46ff3953de4,Attribute,b9002cd2-c660-4920-a5cc-0a67431071ea,G2-9 – Political engagement and lobbying activities,,,,,,,,The undertaking shall provide information on its political contributions and lobbying or advocacy activities.,"The disclosure required by paragraph 46 shall include: (a) the representative(s) responsible in the administrative, management and supervisory bodies for the oversight of these activities; and (b) on financial or in-kind contributions: i. the total monetary value of financial and in-kind political contributions made directly and indirectly by the undertaking aggregated by country and/or type of recipient/beneficiary; ii. where appropriate, how the monetary value of in-kind contributions was estimated; iii. the total monetary amount of financial and in-kind lobbying or advocacy
expenses (both internal and external); and
iv. the total amount paid for membership to professional or advocacy
associations.",Qualitative
8d650bf6-04b1-49be-aa07-6edc9a7134de,Attribute,b9002cd2-c660-4920-a5cc-0a67431071ea,G2-10 – Payment practices,,,,,,,,The undertaking shall provide information on the payment practices to support transparency about these practices given the importance of timely cash flows to business partners.,The disclosure under paragraph 51 shall include: (a) the average time the undertaking takes to pay an invoice in number of days; (b) details about the undertaking’s standard contractual payment terms in number of days for both purchases and sales of products or services provided; and (c) complementary information necessary to provide sufficient context.,Qualitative
82fbba00-e627-44b9-8656-44e7a060c1e5,Layer,,ESRS E1 - Climate Change,,,,,,,,,,
ef3e72de-dbb4-430d-8041-75fc7305284e,Object,82fbba00-e627-44b9-8656-44e7a060c1e5,"General, strategy, governance and materiality assessment",,,,,,,,,,
799672c9-7226-42f2-8bef-92b661e07c60,Attribute,ef3e72de-dbb4-430d-8041-75fc7305284e,E1-1 – Transition plan for climate change mitigation,,,,,,,,The undertaking shall disclose its plans to ensure that its business model and strategy are compatible with the transition to a climate-neutral economy and with limiting global warming to 1.5 °C in line with the Paris Agreement.,"The information required by paragraph 13 shall include: (a) by reference to GHG emission reduction targets (ESRS E1 Disclosure Requirement 3), an explanation of their alignment with limiting global warming to 1.5°C; (b) by reference to GHG emission reduction targets (ESRS E1 Disclosure Requirement 3) and the climate change mitigation action plan (ESRS E1 Disclosure Requirement 4), an explanation of the decarbonisation levers identified, and key actions planned, including changes in the undertaking’s product and service portfolio and the adoption of new technologies; (c) by reference to the climate change mitigation action plan (ESRS E1 Disclosure Requirement 4), an explanation of the financial resources supporting the implementation of the transition plan; (d) the locked-in GHG emissions from key assets and products, including an explanation
if and how these can jeopardise the achievement of GHG emission reduction targets
and drive transition risk, and the plans to manage GHG- and energy-intensive assets
and products;
(e) an explanation of the role of aligning economic activities with the provisions of
Regulation (EU) 2020/852, including any delegated regulations related to climate
change mitigation and adaptation, and the plans for future Taxonomy alignment;
(f) an explanation of how the transition plan is embedded in and aligned with its overall
business strategy and financial planning and whether it is approved by the
administrative, management and supervisory bodies of the undertaking; and
(g) an explanation of the progress made in implementing the transition plan.",Qualitative
df9081ec-af3f-472b-a071-cb64a808bca0,Object,82fbba00-e627-44b9-8656-44e7a060c1e5,"Policies, targets, action plans and resources",,,,,,,,,,
a7629b3f-4235-41bc-9851-fd94e186e6c7,Attribute,df9081ec-af3f-472b-a071-cb64a808bca0,E1-2 – Policies implemented to manage climate change mitigation and adaptation,,,,,,,,The undertaking shall disclose its policies related to climate change mitigation and its policies related to climate change adaptation.,"The description of the climate change mitigation and adaptation policies shall follow the principles defined in ESRS 1 Disclosure Principle 1 On policies adopted to manage material sustainability matters.The undertaking shall in addition disclose an overview of the main legal requirements it
has to comply with and of other needs and expectations of stakeholders it has chosen to
comply with, including third-party standards or initiatives.",Qualitative
e0c76552-7d0e-43a4-94eb-82f7241fcc6e,Attribute,df9081ec-af3f-472b-a071-cb64a808bca0,E1-3 – Measurable targets for climate change mitigation and adaptation,,,,,,,,The undertaking shall disclose the climate-related targets it has adopted.,"The description of the targets shall follow the principles defined in ESRS 1 Disclosure Principle 2 On targets, progress and tracking effectiveness which are referenced under paragraph 24 below. 23. The disclosure required by paragraph 20 relates to targets for the reduction of the undertaking’s GHG emissions in Scope 1, 2 and 3 as well as other targets to manage material climate-related impacts, risks and opportunities, for example renewable energy deployment, energy efficiency, climate change adaptation, physical or transition risk mitigation.",Qualitative
b0d05ab1-bbb8-40b0-a6df-38f36f37e38b,Attribute,df9081ec-af3f-472b-a071-cb64a808bca0,E1-4 – Climate change mitigation and adaptation action plans and resources,,,,,,,,The undertaking shall disclose its climate change mitigation and adaption action plans and the resources allocated for their implementation.,"The description of the climate-related action plans and resources shall follow ESRS 1 Disclosure Principle 3 Actions, action plans and resources in relation to policies and targets. In addition to ESRS 1 Disclosure Principle 3, the undertaking shall: (a) when describing the outcome of the actions for climate change mitigation, include
the achieved or expected GHG emission reductions; and
(b) relate monetary amounts to the most relevant amount presented in the financial
statements.",Qualitative
1e8cd131-5397-47f4-9790-d1cfce7f6582,Object,82fbba00-e627-44b9-8656-44e7a060c1e5,Performance measurement,,,,,,,,,,
a2f1074c-76d2-43c1-b2b6-d06138556ee4,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-5 – Energy consumption and mix,,,,,,,,The undertaking shall provide information on its energy consumption.,"The disclosure required by paragraph 31 shall include the total energy consumption in MWh as follows: (a) total energy consumption from non-renewable sources3 , broken down by: i. fuel consumption from coal and coal products; ii. fuel consumption from crude oil and petroleum products; iii. fuel consumption from natural gas; iv. fuel consumption from other non-renewable sources; v. consumption from nuclear products; and vi. consumption of purchased or acquired electricity, heat, steam, and cooling from non-renewable sources; and (b) total energy consumption from renewable sources, broken down by: vii. fuel consumption for renewable sources (including biomass, biogas, nonfossil fuel waste, hydrogen from renewable sources, etc.); viii. consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources; and ix. consumption of self-generated non-fuel renewable energy.",Qualitative
29dc9de8-499e-479a-bade-1b522c174e43,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-6 – Energy intensity per net turnover,,,,,,,,The undertaking shall provide information on the energy consumption associated with activities in high climate impact sectors per net turnover of these activities,The undertaking shall disclose a reconciliation of the net turnover reference to the most relevant amount presented in the financial statements.,Qualitative
7117756f-70ca-4478-a015-c7fcdbbf5d17,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-7 – Scope 1 GHG emissions,,,,,,,,The undertaking shall disclose its gross Scope 1 GHG emissions in metric tons of CO2 equivalent.6,The disclosure required by paragraph 38 shall include: (a) the gross Scope 1 GHG emissions in metric tons of CO2 equivalent; and (b) the share of Scope 1 GHG emissions under regulated emission trading schemes (%).,Qualitative
526c66ee-d07e-451e-93d7-b1f07228442d,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-8 – Scope 2 GHG emissions,,,,,,,,The undertaking shall disclose its gross indirect energy Scope 2 GHG emissions in metric tons of CO2 equivalent.,The disclosure required by paragraph 41 shall include: (a) the gross location-based Scope 2 GHG emissions in metric tons of CO2 equivalent; and (b) the gross market-based Scope 2 GHG emissions in metric tons of CO2 equivalent.,Qualitative
28850abb-4439-46ec-b9a2-cffd086d6e88,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-9 – Scope 3 GHG emissions,,,,,,,,The undertaking shall disclose its gross indirect Scope 3 GHG emissions in metric tons of CO2 equivalent.,"The disclosure required by paragraph 44 shall include GHG emissions from significant Scope 3 categories and presented as a breakdown by GHG emissions from: (i) upstream purchasing, (ii) downstream sold products, (iii) goods transportation, (iv) travel and (v) financial investments.",Qualitative
9acf7f0a-11bc-4318-8e42-f8d053a1de50,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-10 – Total GHG emissions,,,,,,,,The undertaking shall disclose its total GHG emissions in metric tons of CO2 equivalent.,"The disclosure required by paragraph 47 shall be the sum of Scope 1 GHG emissions under ESRS E1 Disclosure Requirement 7, Scope 2 GHG emissions under ESRS E1 Disclosure Requirement 8 and Scope 3 GHG emissions under ESRS E1 Disclosure Requirement 9 and be presented in terms of location-based and market-based methods.",Qualitative
2d393d04-4412-41e0-9465-7ab0a37e3f60,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-11 – GHG intensity per net turnover,,,,,,,,The undertaking shall disclose its total GHG emissions per net turnover,The undertaking shall disclose a reconciliation of the net turnover reference to the most relevant amount presented in the financial statements.,Qualitative
9cbf396d-100e-428e-be25-a1e6289a9648,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-12 – GHG removals in own operations and the value chain,,,,,,,,The undertaking shall disclose GHG removals from own operations and the upstream and downstream value chain in metric tons of CO2 equivalent.,"The disclosure required by paragraph 53 shall include: (a) the total amount of GHG removals in metric tons of CO2eq, separated for own operations and the value chain and broken down by removal activity; (b) a description of each removal activity, including:
i. the GHGs concerned;
ii. whether removal and storage are biogenic (e.g., afforestation, reforestation,
forest restoration, urban tree planting, agroforestry, building soil carbon,
etc.), technological (e.g., direct air capture), or hybrid (e.g., bioenergy with
CO2 capture and storage) and technological details;
iii. if applicable, a brief explanation whether the activity qualifies as a naturebased solution; and
iv. how the risk of non-permanence is managed, including determining and
monitoring of leakage; and
(c) calculation assumptions, methodologies and frameworks applied.",Qualitative
aba34e4c-2dc8-4aff-a51d-daf435bcb125,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-13 – GHG mitigation projects financed through carbon credits,,,,,,,,The undertaking shall disclose the amount of GHG emission reductions or removals from climate change mitigation projects outside its value chain it has financed through the purchase of carbon credits.,"The disclosure required by paragraph 56 shall include: (a) the total amount of carbon credits in metric tons of CO2eq that are verified against recognised national or international quality standards and cancelled in the reporting period, broken down by: i. the share (in % of volume) of reduction projects and removal projects; ii. the share (in % of volume) for each recognised quality standard; iii. the share (in % of volume) issued from projects in the European Union; and iv. if applicable, the share (in % of volume) that qualifies as corresponding adjustments under Art. 6 of the Paris Agreement; and (b) the total amount of carbon credits in metric tons of CO2eq planned to be cancelled in the future, based on existing contractual agreements.",Qualitative
fc49ae8c-0e52-4214-b532-60bc76209b1d,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,Optional E1-14 – Avoided GHG emissions from products and services,,,,,,,,The undertaking may disclose its estimated total avoided GHG emissions from its products and services in metric tons of CO2 equivalent.,"If the undertaking discloses the information according to paragraph 59, it shall provide details on: (a) the assumptions made; (b) data sources used and methodologies applied to estimate the comparative impacts (baseline and reference products for assessing additionality); and (c) identified trade-offs with other (non-GHG) environmental impacts.",Qualitative
da7b4252-d368-456b-b980-090257c14cba,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,Taxonomy - Taxonomy Regulation for climate change mitigation and climate change adaptation,,,,,,,,"The undertaking shall disclose information required by Art. 8 of the Regulation (EU) 2020/852 (Taxonomy Regulation) in conjunction with Annex I and Annex II of Commission Delegated Regulation (EU) 2021/2139 of 4 June 2021 and with the Commission Delegated Regulation (EU) 2021/2178 of 6 July 2021, both supplementing Regulation (EU) 2020/852 of the European Parliament and of the Council.",The information to be disclosed under the climate-related provisions of Regulation (EU) 2020/852 is complementary to the information disclosed under the provisions of this [draft] Standard.,Qualitative
ff838163-b92c-40d7-9455-9f1d940a6547,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-15 – Potential financial effects from material physical risks,,,,,,,,The undertaking shall disclose the estimated potential financial effects from its material physical risks.,"The disclosure required by paragraph 65 shall include: (a) the assets (monetary amounts and percentage) at material physical risk over the short-, medium-, and long-term and the share of these assets addressed by the climate change adaptation action plan; and (b) the share (%) of net turnover from its business activities at material physical risk over the short-, medium- and long-term.",Qualitative
9b6a3bf6-f10a-4a32-b76f-8cc87c291130,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-16 – Potential financial effects from material transition risks,,,,,,,,The undertaking shall disclose the estimated potential financial effects from material transition risks.,"The disclosure required by paragraph 69 shall include: (a) the assets (monetary amounts and percentage) at material transition risk over the short-, medium- and long-term and the share of these assets addressed by the climate change mitigation action plan; (b) the liabilities (monetary amounts) that may have to be recognised in financial statements over the short-, medium- and long-term; and (c) the share (%) of turnover from its business activities at material transition risk",Qualitative
defb6af7-934b-4579-a5e8-77a34219806d,Attribute,1e8cd131-5397-47f4-9790-d1cfce7f6582,E1-17 – Potential financial effects from climate-related opportunities,,,,,,,,The undertaking shall disclose its potential financial effects from material climaterelated opportunities.,"The disclosure required by paragraph 73, shall include: (a) an assessment of its expected cost savings with regards to climate change mitigation and adaptation actions; and (b) an assessment of the potential market size for low carbon products and services or adaptation solutions, to which the undertaking has or may have access.",Qualitative
1ca86f58-858d-4d5e-bbf4-a751daea82b6,Layer,,ESRS E2 - Pollution,,,,,,,,,,
cf8729b4-f221-4c12-a38b-c50914d75131,Object,1ca86f58-858d-4d5e-bbf4-a751daea82b6,"Policies, targets, action plans and resources",,,,,,,,,,
f023668e-61cb-45a4-9deb-a38416712edc,Attribute,cf8729b4-f221-4c12-a38b-c50914d75131,E2-1 – Policies implemented to prevent and control pollution,,,,,,,,The undertaking shall disclose its policies related to pollution prevention and control.,"The undertaking shall in particular provide a description of the policies implemented in order to: (a) mitigate its negative impacts and maximise its positive impacts related to pollution prevention and control in its own operations and throughout the upstream and downstream value chain; (b) avoid incidents and emergency situations, and if and when occurred to control and limit their impact on the environment and/or society, in line with the Directive 2012/18/EU of the European Parliament and of the Council of 4 July 2012 on the control of major-accident hazards involving dangerous substances; (c) take account of actual and possible upcoming regulations; and (d) where relevant, expand its enabling activities, and/or enhance their effectiveness,
to enable other undertakings to prevent, control and eliminate pollution. For each policy, the undertaking shall disclose:
(a) which sub-subtopic(s) it covers:
i. pollution of air;
ii. pollution of water;
iii. pollution of soil;
iv. substances of concern;
v. enabling activities; or
vi. other;
(b) which objective it pursues among the following:
i. prevention of pollution at the source;
ii. minimisation and control of pollution;
iii. avoidance, and if occurred, control of the impact of incidents;
iv. remediation of pollution of both from regular activities and from incidents;
or
v. other.",Qualitative
