Layer,Object,Attribute,Criteria
SBTi,Emissions accounting requirements,C8  - Scope 2 accounting approach,"Companies shall disclose whether they are using a location- or market-based accounting approach as per the GHG Protocol Scope 2 Guidance to calculate base year emissions and to track performance against a science-based target. GHG Protocol requires measuring and reporting scope 2 emissions using both approaches. However, a single and consistent approach shall be used for setting and tracking progress toward a SBT (e.g., using location-based approach for both target setting and progress tracking)."
SBTi,Method Validity,C7 - Method validity,Targets must be modelled using the latest version of methods and tools approved by the initiative. Targets modelled using previous versions of the tools or methods can only be submitted to the SBTi for validation within 6 months of the publication of the revised method or the publication of relevant sector-specific tools
SBTi,GHG Emissions Inventory and Target Boundary,R2 - Targets covering optional scope 3 emissions,"Targets to reduce scope 3 emissions that fall outside the minimum boundary4 of scope 3 categories are not required, but are encouraged when these emissions are significant. This can include targets to influence the behavior of endusers (e.g. education campaigns) or to drive the adoption of science-based targets on customers (e.g. customer engagement targets). Companies may cover these emissions with a scope 3 target, but such targets cannot count towards the two-thirds threshold defined in C6 for scope 3 emissions (i.e., these targets are above and beyond the company’s scope 3 targets). For reference, consult page 48 in the GHG Protocol Scope 3 Standard and the Target Validation Protocol for a list of products that generate direct and indirect use-phase emissions."
SBTi,GHG Emissions Inventory and Target Boundary,C6 - Scope 3 emissions coverage for near-term targets,Companies must set one or more emission reduction targets and/or supplier or customer engagement targets that collectively cover(s) at least two-thirds (67%) of total scope 3 emissions considering the minimum boundary of each scope 3 category in conformance with the GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard.
SBTi,GHG Emissions Inventory and Target Boundary,C5 - Scope 1 and 2 significance thresholds,Companies may exclude up to 5% of scope 1 and scope 2 emissions combined in the boundary of the inventory and target
SBTi,GHG Emissions Inventory and Target Boundary,C4 - Requirement to have a scope 3 target,"If a company’s relevant scope 3 emissions are 40% or more of total scope 1, 2, and 3 emissions, a scope 3 target is required. All companies involved in the sale or distribution of natural gas and/or other fossil fuels shall set scope 3 targets for the use of sold products, irrespective of the share of these emissions compared to the total scope 1, 2, and 3 emissions of the company."
SBTi,GHG Emissions Inventory and Target Boundary,C3 - Scope 1 and Scope 2,"The targets must cover company-wide scope 1 and scope 2 emissions, as defined by the GHG Protocol Corporate Standard."
SBTi,GHG Emissions Inventory and Target Boundary,C2 - Greenhouse Gases,The targets must cover all relevant GHGs as required per the GHG Protocol Corporate Standard.
SBTi,GHG Emissions Inventory and Target Boundary,R1 - Setting organizational boundaries,"The SBTi recommends that a company's organizational boundary, as defined by the GHG Protocol Corporate Standard, is consistent with the organizational boundary used in the company’s financial accounting and reporting procedures."
SBTi,GHG Emissions Inventory and Target Boundary,C1 - Organizational Boundary,"It is recommended that companies submit targets only at the parent- or group-level, not at the subsidiary level. Parent companies must include the emissions of all subsidiaries in their target submission, in accordance with boundary criteria above. In cases where both parent companies and subsidiaries submit targets2 , the parent company’s target must also include the emissions of the subsidiary if it falls within the parent company’s emissions boundary given the chosen inventory consolidation approach"
