ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Quant_Qual,Title,Guidance
17ad515b-d2a7-4369-98fd-1c4715b84755,Attribute,8fb64c35-57e7-4524-9e47-5bf8d44e7e64,Recommended Disclosure b),,,,,,,,Qualitative,"Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.","In describing management’s role in the assessment and management of nature-related dependencies, impacts, risks and opportunities, an organisation should include the following information: - Whether and how the organisation has assigned nature-related responsibilities to management-level positions or committees, whether such management positions or committees report to the board or board committee, and whether those responsibilities  include assessing and/or managing nature-related dependencies, impacts, risks and opportunities; 
- A description of the associated organisational structure(s); - Processes by which management is informed about and monitors nature-related dependencies, impacts, risks and opportunities; and- How management (through speci昀椀c positions and/or management committees) monitors nature-related dependencies, impacts, risks and opportunities.An organisation should consider reporting the following indicators to support this disclosure:- Highest level of responsibility and accountability for nature policies, commitments and targets; and- Frequency of communication of performance and progress in priority locations to management."
015533b3-d8db-44df-bc96-abb32a2aac8b,Attribute,8fb64c35-57e7-4524-9e47-5bf8d44e7e64,Supplement guidance for financial institutions,,,,,,,,Qualitative,Supplement guidance for financial institutions,"Financial institutions should describe, as relevant, how the organisation’s risk functions (in the case of all institutions), underwriting units (in the case of insurers) and investment teams (in the case of asset managers and owners) monitor nature-related dependencies, impacts, risks and opportunities in its direct operations and portfolio."
6917e3cf-36c3-48b2-ad12-0925b20dd107,Object,747e1639-3172-4ca6-8613-26bd3a5cfb20,Strategy,,,,,,,,Qualitative,,
8bfa6f59-42df-4e58-a336-e6070f425861,Attribute,6917e3cf-36c3-48b2-ad12-0925b20dd107,Recommended Disclosure a),,,,,,,,Qualitative,"Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium, and long term.","An organisation should provide the following information:- A description of its actual or likely impacts on nature, with reference to the locations identified in Strategy D and any other relevant locations. This description should align with the core indicators and metrics outlined in the Annex for Metrics and Targets B (Annex 2), as well as any other impacts identified as material. It should distinguish between impacts in the organisation’s direct operations, upstream and downstream, and financed  activities; and a description of its actual or likely dependencies on nature, with reference to the locations identifed in disclosure Strategy D, and any other relevant locations. This description should distinguish between dependencies in the organisation’s direct operations, upstream and downstream, and financed activities. In describing nature-related dependencies and impacts, an organisation should refer to the global core and additional disclosure indicators in Annex 1 and the sector and biomespecific metrics (see examples for agriculture and food sector in Annex 4 and tropical forest biome in Annex 5).
An organisation should provide the following information:- A description of what they consider to be the relevant short-, medium- and long-term time horizons, considering the useful life of the organisation’s assets or infrastructure and the fact that nature-related risks and opportunities often manifest themselves over the medium and longer terms; and- A description of the speific nature-related risks and opportunities potentially arising from dependencies and impacts on nature across each time horizon (short-, medium- and long-term) identified as material.
An organisation should highlight connections between impacts and dependencies, and risks and opportunities where possible.In describing nature-related risks and opportunities, an organisation should refer to the global core and additional disclosure indicators and metrics in Annex 2."
37734029-7b21-4f5b-8246-8f361301a092,Attribute,6917e3cf-36c3-48b2-ad12-0925b20dd107,Recommended Disclosure b),,,,,,,,Qualitative,"Describe the effect nature-related risks and opportunities have had and may have on the organisation’s businesses, strategy, and financial planning.","An organisation should describe how nature-related risks and opportunities identified in Strategy A have affected its businesses, strategy and financial planning. 
Organisations should describe how nature-related risks and opportunities serve as an input to their financial planning processes, the time period(s) used and how these risks and opportunities are prioritised. An organisation’s disclosures should reflect a holistic picture of the interdependencies between risks and opportunities that affects its ability to create value over time.
An organisation should describe the actual and potential effect of nature-related risks and opportunities on its financial performance, such as revenues and costs, and its financial position, such as assets and liabilities. The disclosure should refer to the global core and additional metrics in Annex 2. 
If scenarios were used to inform the organisation’s strategy and financial planning, these scenarios should be described.
Organisations that have made nature-related commitments, operate in jurisdictions that have made such commitments, or have agreed to meet investor expectations regarding nature, should describe their plans, which could include nature-related targets, transition plans and specific activities intended."
b38b5005-02bc-462b-94f0-1fcf87850410,Attribute,6917e3cf-36c3-48b2-ad12-0925b20dd107,Supplement guidance for financial institutions,,,,,,,,Qualitative,Supplement guidance for financial institutions,"Financial institutions should provide:
- A qualitative description of whether and how they consider nature-related dependencies, impacts, risks and opportunities in their financing decisions;
- Quantitative information on those dependencies, impacts, risks and opportunities in light of their specific businesses, clients, investment mandates and products and services; and
- A description of any realm, biome- or ecosystemspecific standards and policies (covering, for example, tropical forests or coral reefs) or sector-specific standards and policies (covering, for example, fisheries, palm oil or mining), particularly if these standards and policies impose limits or other due diligence standards on investment, lending or insurance activities.
Qualitative information may include how naturerelated risks and opportunities are considered in client 
selection, client advice, and product and service offerings. 
For example:
- An insurer could describe how nature-related dependencies, impacts, risks and opportunities in its value chain affect the insurance offerings or insurer investments on a sector or at a geographic level;
- A bank could describe how its loan due diligence has been affected by the consideration of the borrower’s nature-related dependencies, impacts, risks and opportunities;
- An asset manager or asset owner could describe how nature-related dendencies, impacts, risks and opportunities are factored into product development and investment or ownership strategy. Where possible, this information should reflect:
- The interconnectedness of nature and climate-related dependencies, impacts, risks and opportunities, - The organisation’s strategy and responses to those dependencies, impacts, risks and opportunities, and 
- How nature-related risks and opportunities are prioritised in the organisation’s strategy determinations. Financial institutions that have set commitments and/or have developed transition plans to support a shift of financial flows to align with the goals of the Kunming–Montreal Global Biodiversity Framework (to help achieve Targets 14 and 15) and/or other international environmental treaties should outline how those commitments and plans are set and implemented,and how progress is tracked. See also the guidance for disclosure recommendation Metrics and Targets C on target setting. It is recognised that for both qualitative and quantitative information, financial institutions have a reliance on disclosures from non-financial corporates or other tools, and that this may limit what a financial institution is able to disclose in the short to medium term. A financial institution should describe these limitations and its strategy to improve the information and analysis over time.
It is further recognised that there may be limitations on the granularity of information disclosed due to confidentiality and/or competitive reasons. A financial institution should disclose information at the greatest level of granularity that is practical while respecting these constraints."
c5b0a2ee-f273-44cb-b871-a419f20ccb51,Attribute,6917e3cf-36c3-48b2-ad12-0925b20dd107,Recommended Disclosure c),,,,,,,,Qualitative,"Describe the resilience of the organisation’s strategy to nature-related risks and opportunities, taking into consideration different scenarios.","The organisation should consider discussing:
- Where it believes its strategies may be affected by different assumptions and uncertainties regarding nature-related risks and opportunities; 
- How its strategies might change to address such potential effects, including a description of how the location specificity of nature-related dependencies, impacts, risks and opportunities may be considered; 
- The potential effects of nature-related risks and opportunities on financial performance, such as revenues and costs, and financial position, such as assets and liabilities, over the short, medium and longer term
The resources and capacity the organisation has or can put in place to adapt and make these changes to its strategy to address future changes in the potential effects of nature-related risks and opportunities; and
- The scenarios and associated time horizon(s) considered in assessing the strategy’s resilience."
beed659e-d6f5-4738-aca2-3dd4425ea478,Attribute,6917e3cf-36c3-48b2-ad12-0925b20dd107,Supplement guidance for financial institutions,,,,,,,,Qualitative,,"Financial institutions that perform scenario analysis to assess nature-related risks and opportunities should disclose the following information:
- Description of the scenarios used and future time horizons considered, including the critical input parameters, assumptions, considerations and limitations;
- How such scenarios are integrated with, or distinct from, climate-related or other internally used scenarios and stress tests; and
- How the outputs from the scenario analysis are used in risk management processes, given the financial institution’s activities and the relevant timeframes. For example, the maturity of loans for banks differs from the holding periods of asset owners, which differs from the liability duration for insurers and re-insurers.
It is recognised that there may be limitations to the granularity of information that can be disclosed for confidentiality or competitive reasons. At a minimum, information provided should give an indication of the kinds of analysis done, the main conclusions and learnings, the limitations of the analysis and any decisions or changes made in light of the conclusions from the scenario analysis."
10382130-fc39-4c01-96cc-2191fb8b8c38,Attribute,6917e3cf-36c3-48b2-ad12-0925b20dd107,Recommended Disclosure d),,,,,,,,Qualitative,"Disclose the locations where there are assets and/or activities in the organisation's direct operations, and upstream and/or downstream and/or financed where relevant, that are in:High integrity ecosystems; and/or Areas of rapid decline in ecosystem integrity; and/or Areas of high biodiversity importance; and/or Areas of water stress; and/or Areas where the organisation is likely to have significant potential dependencies and/ or impacts.","An organisation should include:
- A list and/or spatial map of locations where the organisation has assets and/or activities in its direct operations, and upstream and/or downstream and/or financed, where relevant that are in:- High integrity ecosystems; and/or - Areas of rapid decline in integrity; and/or - High biodiversity importance; and/or - Areas of water stress; and/or - Areas where the organisation is likely to have significant potential impacts and/or dependencies; - Reference to the locations and types of the ecosystems (i.e. biomes);- A description of how the organisation defines and identifies high integrity ecosystems, rapid decline in ecosystem integrity, high biodiversity importance and water stress, with reference to tools, data sources and indicators and metrics used; and- A description of how the organisation identifies where it is likely to have significant potential impacts and/or dependencies for the purposes of this disclosure where not covered elsewhere.An organisation should consider reporting the following indicators to support this disclosure: - Proportion of suppliers screened on nature-related issues by spend and/or volume;- Proportion of suppliers engaged for priority nature issues identified and/or when assessing nature-related issues, by spend and/or volume;- Timescale for assessing nature-related risks in the value chain;- Proportion of inputs, by spend and/or volume, traced to original location; and- Proportion of operational locations assessed upstream and downstream.An organisation may wish to refer to the databases, definitions, metrics and metrics and sources outlined in the TNFD guidance for identifying priority locations in the Locate phase of the LEAP approach."
ac8d32c2-6db4-42c3-857c-b43da26513f9,Attribute,6917e3cf-36c3-48b2-ad12-0925b20dd107,Supplement guidance for financial institutions,,,,,,,,Qualitative,Supplement guidance for financial institutions,"financial institutions should disclose metrics that represent the scale of exposure in their portfolio, such as absolute amount or percentage of lending, assets managed or owned or insurance premiums underwritten, to companies with assets or activities in: - High integrity ecosystems and/or - Areas of rapid decline in ecosystem integrity and/or - Areas of high biodiversity important and/or - In areas of water stress and/or - Areas where the assets or activities associated with the portfolio are likely to have significant potential dependencies and/or impacts.
Over time, as the disclosure approach becomes more mature, this disclosure may also include a breakdown by sector, nature realm, ecosystem service, geographic component (country, biome and/or ecosystem) or by financial product. An organisation should also consult the guidance for disclosure recommendation Metrics and Targets B on dependency and impact metrics.
It is recognised that disclosing an investee or client’s nature-related dependencies and impacts associated with financial activities is different from assigning responsibility to the financial institution for contribution to those impacts and dependencies. Nevertheless, consistent with the OECD Guidelines on Multinational Enterprises and the specific financial sector guidance, actions that can be taken by financial institutions to encourage mitigation of the impacts and dependencies of investees/clients should be pursued and aligned with the concepts in the OECD Guidelines. A description of such activities should be provided in the risk and impact management disclosures."
c4b9fc52-1c76-4065-a373-031d740039c2,Object,747e1639-3172-4ca6-8613-26bd3a5cfb20,Risk & Impact Management,,,,,,,,Qualitative,,
b57811d8-a6c1-47fb-821f-49ccadc14c96,Attribute,c4b9fc52-1c76-4065-a373-031d740039c2,Recommended Disclosure a) (i),,,,,,,,Qualitative,"Describe the organisation’s processes for identifying and assessing nature-related dependencies, impacts, risks and opportunities in its direct operations.","Important aspects of this description are how an organisation identifies existing, new, emerging and changing nature-related dependencies, impacts, risks and opportunities that may affect the organisation, including factors such as: the degree of location-specificity used (e.g. sitespecific, local, national); the timescales considered; If and how ecological thresholds and tipping points were considered; the frequency of assessment and whether and how existing and emerging regulatory requirements related to nature loss were considered (e.g. restrictions on water or land use).
The organisation should provide: The methodology and data sources used for any indirect estimates; the improvements in data quality since the previous disclosure; an assessment of the quality of the data used and the implications for the analysis; the strategy to increase data quality over time and the definitions of risk terminology used or references to existing risk classification frameworks used, where appropriate and relevant to understanding the process.
An organisation should consider reporting the following indicators to support this disclosure: the level(s) at which the assessment is taken (corporate, location-specific and/or project/serviceline-specific); and proportion of direct operational locations assessed"
471f1418-8649-426d-9791-ac522d750135,Attribute,c4b9fc52-1c76-4065-a373-031d740039c2,Supplement guidance for financial institutions,,,,,,,,Qualitative,Supplement guidance for financial institutions,"Financial institutions should describe how they have analysed their own operations for nature-related dependencies, impacts, risks and opportunities."
7bb5eb48-6a40-4cb0-8627-a5512ecf9250,Attribute,c4b9fc52-1c76-4065-a373-031d740039c2,Recommended Disclosure a) (ii),,,,,,,,Qualitative,"Describe the organisation’s approach to identifying nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s) and financed activities and assets.","An organisation should describe its approach to identifying nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s) and financed activities and assets for assessment. For the remainder of this disclosure recommendation, value chain(s) refers to upstream, downstream and/or financed activities and assets. 
Important aspects of this description are: - The scope of the value chain(s) considered;- The elements of the value chain(s) identified for assessment;- How the organisation determines those elements (e.g. based on the priorities set out in the TNFD 
sector and biome-specific guidance, where available; the commodities used; likely materiality; products, locations, processes; and/or degree of influence over the issue);- Why this approach to prioritisation was adopted; and- How an organisation reviews this approach to identify new, emerging and changing risks and opportunities that may affect the organisation. For example, how existing and emerging regulatory requirements related to nature loss are considered, which could result in water or land use restrictions.
An organisation should describe its approach to evaluating and assessing nature-related dependencies, impacts, risks and opportunities in the prioritised elements of its value chain(s).
Important aspects of this description are:- The timescales considered;- If and how ecological thresholds and tipping points were considered; - The degree of location-specificity achieved and the implications for the analysis, including:- An assessment of the quality of the data used; - Which data are obtained directly from suppliers or customer and what is estimated indirectly; - The methodology and data sources used for any indirect estimates; - The strategy to increase data quality, traceability and location-specificity over time, the barriers to such improvements and the approach to overcoming those barriers; and- The improvements in data quality, traceability and location-specificity achieved since the previous disclosure.- How an organisation assesses nature-related risks in its value chain(s) based on the severity of potential effects on the organisation, including processes for assessing the potential size and scope of identified nature-related risks and opportunities; and- How an organisation determines the relative significance of nature-related risks in its value chain(s) in relation to other risks and prioritises risks to inform decision-making about its risk responses and risk management.An organisation should consider reporting the following indicators to support this disclosure:- Proportion of suppliers screened on nature-related issues by spend and/or volume;- Proportion of suppliers engaged for priority nature issues identified and/or when assessing nature-related issues, by spend and/or volume;- Timescale for assessing nature-related risks in the value chain;- Proportion of inputs, by spend and/or volume, traced to original location; and - Proportion of operational locations assessed upstream and downstream."
51ed8612-832c-486e-b4f7-4db194b680b4,Attribute,c4b9fc52-1c76-4065-a373-031d740039c2,Supplement guidance for financial institutions,,,,,,,,Qualitative,Supplement guidance for financial institutions,"Financial institutions should describe how they have analysed their portfolios to identify and assess their investees’ and clients’ nature-related dependencies, impacts, risks and opportunities and the risks and opportunities these present to the financial  institution’s portfolio. 
For clients that have been identified as having the most significant dependencies and impacts on nature, financial institutions should describe any additional due diligence processes applied. 
Financial institutions should consider and describe potential nature-related transition and physical risks as well as systemic risks and their interconnection to climate-related risks. 
The integration of nature-related risk considerations into other risk management categories, such as credit risk, market risk, operational risk, underwriting risk and investment risk, should be described. This may include use of the TNFD LEAP approach or similar proprietary processes with equivalent considerations and be on a qualitative (e.g. policies) or quantitative (e.g. risk modelling) basis."
797e437a-7ee9-4139-b357-96c953355a21,Attribute,c4b9fc52-1c76-4065-a373-031d740039c2,Recommended Disclosure b),,,,,,,,Qualitative,"Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities and actions taken in light of these processes.","An organisation should describe its processes for managing nature-related dependencies, impacts, risks and opportunities. This should include how it makes and implements decisions to avoid and reduce negative impacts on nature, regenerate and restore ecosystems, and transform business practices, following the mitigation hierarchy and principles of extended producer responsibility.
An organisation should describe the actions taken in response to the dependencies, impacts, risks and opportunities identified. This could include changes to business practices, investments in new technology or research and development, decisions about the location of business operations, and collaboration with other partners and stakeholders. An organisation should discuss how these actions will evolve in the future.
An organisation should describe how dependencies, impacts, risks and opportunities in their value chain(s) have affected its approach to sourcing and interactions with downstream entities. This could include the adoption of tracing, certification practices, collaboration with suppliers, customers and other stakeholders, or extended producer responsibility schemes. An organisation should report on the coverage of these policies, as well as efforts to increase such coverage. An organisation should consider reporting the following indicators to support this disclosure: proportion and/or value of production, consumption and sourcing of raw materials covered by third-party certification schemes, listed by certification scheme used.
Further indicators and metrics that demonstrate businesses response to nature-related dependencies, impacts, risks and opportunities (non-exhaustive), are outlined in Annex 3."
58e576bf-6d38-4cf3-9b4e-7e792011e5cb,Attribute,c4b9fc52-1c76-4065-a373-031d740039c2,Supplement guidance for financial institutions,,,,,,,,Qualitative,Supplement guidance for financial institutions,"Financial institutions should describe the processes used to manage nature-related dependencies, impacts, risks and opportunities in relation to their product and service offerings.
Without disclosing proprietary details or information, this may include a description of how adjustments are determined to: terms and conditions, pricing or portfolio composition for lending, advisory, underwriting and investments, and/or integration of nature into hazard models. 
This may also include a financial institution’s risk standards, due diligence requirements and other policies on a sector or topic basis. 
Financial institutions should consider describing engagement and stewardship with clients and counterparties to encourage them to improve their own nature-related dependencies, impacts, risks and opportunities management and disclosure. Such activities may be done individually or collectively through stewardship and engagement platforms particularly for asset managers and owners (e.g. Nature Action 100). The overall process should be described and some specific examples and measurable outcomes from due diligence and engagement provided where this does not violate client confidentiality. 
In all cases, examples should be disclosed in a manner that balances disclosure of material information and business confidentiality considerations."
3ad0f374-1e63-43b3-8830-17468df1a7f4,Attribute,c4b9fc52-1c76-4065-a373-031d740039c2,Recommended Disclosure c),,,,,,,,Qualitative,"Describe how processes for identifying, assessing and managing nature-related risks are integrated into the organisation’s overall risk management.","An organisation should describe whether and how its processes for identifying, assessing and managing nature-related risks are integrated into its overall risk management process."
0202ebf3-ba54-4706-9eb3-ea18130593cd,Attribute,c4b9fc52-1c76-4065-a373-031d740039c2,Recommended Disclosure d),,,,,,,,Qualitative,"Describe how affected stakeholders are engaged by the organisation in its assessment of, and response to, nature-related dependencies, impacts, risks and opportunities.","An organisation should include the following information:
- A statement of its efforts to comply with international standards of responsible business conduct and other human rights and stakeholder engagement policies, guidance and declarations, as set out, for example, in the UN Guiding Principles on Business and Human Rights, OECD Guidelines for Multinational Enterprises, UN Declaration on Rights of Indigenous Peoples, ILO Convention 169, Convention on Biological Diversity; 
- The organisation’s approach to identifying and addressing grievances related to the organisation’s potential and actual impacts on nature, including the grievance mechanisms that the organisation has established or in which it participates;
- A list and description of the affected stakeholders, including those whose human rights might be affected, and a description of how they were identified;
- A statement of the purpose of the engagement and whether it takes place in relation to assessment, solution-finding, monitoring and/or evaluation of nature-related issues;
- A description of the mode of engagement, the process used for engagement, whether engagement is one-off, periodic or ongoing, and through formal or informal structures;
- A description of whether engagement has been based on Informed Consultation and Participation (IPC) and how Free, Prior and Informed Consent (FPIC) has been attained, especially as it relates to Indigenous Peoples and local communities;
- The results of the stakeholder engagementprocesses and how those results have been used by the organisation, including evidence that relevant information is disclosed in a timely manner, using appropriate means, and has been incorporated or otherwise addressed in the organisation’s decisionmaking and responses to nature-related issues; and
- A statement of whether and how senior management and the board are informed about stakeholder engagement processes and their results;
- A description of the mode of engagement, the process used for engagement, whether engagement is one-o昀昀, periodic or ongoing, and through formal or informal structures;
- A description of whether engagement has been based on Informed Consultation and Participation (IPC) and how Free, Prior and Informed Consent (FPIC) has been attained, especially as it relates to Indigenous Peoples and local communities;
- The results of the stakeholder engagement processes and how those results have been used by the organisation, including evidence that relevant information is disclosed in a timely manner, using appropriate means, and has been incorporated or otherwise addressed in the organisation’s decisionmaking and responses to nature-related issues; and
- A statement of whether and how senior management and the board are informed about stakeholder engagement processes and their results.An organisation should consider reporting the following indicators to support this disclosure:
- Proportion of sites that have active engagement with local stakeholders on nature-related issues; and
- A description of participation in sector-wide and multistakeholder agreements.
In preparing this disclosure, organisations may also refer to the TNFD’s additional guidance on stakeholder engagemen"
667c763c-b862-4f8f-8903-9b5e2ec8c22a,Attribute,c4b9fc52-1c76-4065-a373-031d740039c2,Supplement guidance for financial institutions,,,,,,,,Qualitative,Supplement guidance for financial institutions,"Financial institutions should describe how they have worked with investee companies or non-financial corporate clients with whom they have financial relationships, through advisory, lending or insurance, for example, to help ensure they undertake outreach and engage relevant affected stakeholders in their assessment and response to nature-related dependencies, impacts, risks and opportunities. Financial institutions should describe their own outreach as well. 
Financial institutions should describe their involvement in any cases that concern nature-related dependencies or impacts that are brought to National Contact Points under the OECD Guidelines.."
802d4db8-d43d-41f1-b405-dfbe93eff234,Object,747e1639-3172-4ca6-8613-26bd3a5cfb20,Metrics & Targets,,,,,,,,Qualitative,,
1bc7daa6-3eb8-48ff-9647-ef4fcfafd7f1,Attribute,802d4db8-d43d-41f1-b405-dfbe93eff234,Recommended Disclosure a),,,,,,,,Qualitative,Disclose the metrics used by the organisation to assess and manage material nature-related risks and opportunities in line with its strategy and risk management process.,"An organisation should provide the indicators and metrics used to measure and manage nature-related risks and opportunities, and disclose any quantification undertaken, referring to the risk and opportunity categories outlined in Annex 2.For risks and opportunities described in disclosure recommendation Strategy A, an organisation should provide indicators and metrics at the individual risk and opportunity level, referring to the global core and additional indicators and metrics listed in Annex 2.Where relevant, an organisation should financially quantify the risks and opportunities. This could include the costs incurred from mitigating or adapting to naturerelated risks, such as relocating operations, or revenue from products and services that have positive impacts on nature Over time, indicators and metrics should be provided for historical periods to allow for trend analysis. Where appropriate, an organisation should provide forwardlooking nature-related indicators and metrics, consistent with its business or strategic planning time horizons. In addition, an organisation should provide a description of the methodologies and assumptions used to calculate or estimate nature-related indicators and metrics, including any limitations.
Where nature-related issues are material, organisations should describe whether and how related performance metrics are incorporated into remuneration policies."
476a6068-c41a-44d3-b961-98e56c47896b,Attribute,802d4db8-d43d-41f1-b405-dfbe93eff234,Supplement guidance for financial institutions,,,,,,,,Qualitative,,"Financial institutions should disclose the four types of nature-related metrics described below. For any metric reported, the overall purpose for the metric, methodologies used, including its limitations (e.g. scope covered, assumptions made and data availability), and the quality of data should be disclosed. It is recognised that financial institutions have a reliance on disclosures from non-financial corporates or other tools for both qualitative and quantitative information, so there may be limitations to what financial institutions are able to disclose.
Financial institutions should consider the global core metrics for dependencies and impacts for their direct operations as well as their financial portfolios. In many cases, the metrics may not be material for direct operations. Financial institutions should state this as part of the comply or explain approach.
Dependency – see Metrics and Targets recommended disclosure B.
Impact – see Metrics and Targets recommended disclosure B.
Risk – for financial institutions, these are metrics used to assess the potential for loss due to nature-related risks specifically. These could include potential losses on lending and advisory for banks, underwriting for insurers or investments for asset managers and owners. These will often be scenario based and the measures or outputs disclosed may depend on the scenario applied for a given sector or geography. Risk metrics can be disclosed for specific portfolios, portions of portfolios or the organisation as a whole. The scope of the exposures examined and methods applied should be clearly stated. 
Opportunity – for financial institutions, these are metrics used to track nature-related opportunities specifically. These could include lending and advisory opportunities for banks, underwriting opportunities for insurers or investment opportunities for asset managers and owners. These will often be in the form of individual products or transactions, so can be disclosed as absolute amounts or relative to a portfolio total. The scope and methods applied should be clearly stated."
