ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,NACE Code (EU Taxonomy Format),EU Taxonomy Activity Code,Description,Criteria,NACE Codes
d2fe8548-55a8-415b-8270-7a12578d15e3,Attribute,ac99d19c-4f20-4174-9e2c-d632f86b4129,A1.4.5 - Raising of sheep and goats,,,,,,,,A1.45,,,,
de644b26-d387-46de-9441-4d077bd62553,Attribute,ac99d19c-4f20-4174-9e2c-d632f86b4129,A1.4.6 - Raising of swine and pigs,,,,,,,,A1.46,,,,
0d37b886-3f5e-488c-abd2-1031a06c2d98,Attribute,ac99d19c-4f20-4174-9e2c-d632f86b4129,A1.4.7 - Raising of poultry,,,,,,,,A1.47,,,,
2c88da5c-fd72-44b3-b72d-036692711f75,Attribute,ac99d19c-4f20-4174-9e2c-d632f86b4129,A1.4.9 - Raising of other animals,,,,,,,,A1.49,,,,
d97716d9-2eec-42a4-938d-828600af4a34,Group,14ff79e4-a6e1-42f6-82c9-4785d8f07540,A1.5 - Mixed farming,,,,,,,,A1.5,,,,
84fea612-dea1-47e0-ab09-1547b8a35096,Attribute,d97716d9-2eec-42a4-938d-828600af4a34,A1.5.0 - Mixed farming,,,,,,,,A1.50,,,,
cd8362bb-cc2e-4291-86be-72fea8c1c69a,Group,14ff79e4-a6e1-42f6-82c9-4785d8f07540,A1.6 - Support activities to agriculture and post-harvest crop activities,,,,,,,,A1.6,,,,
9669da18-14b3-49a8-ac08-b4731d31da51,Attribute,cd8362bb-cc2e-4291-86be-72fea8c1c69a,A1.6.1 - Support activities for crop production,,,,,,,,A1.61,,,,
b66bd4ae-925f-4cc1-8ca8-6f4f4850fe34,Attribute,cd8362bb-cc2e-4291-86be-72fea8c1c69a,A1.6.2 - Support activities for animal production,,,,,,,,A1.62,,,,
8ee95f30-00d4-410e-ae0f-7bb6ce3726bb,Attribute,cd8362bb-cc2e-4291-86be-72fea8c1c69a,A1.6.3 - Post-harvest crop activities,,,,,,,,A1.63,,,,
0e17b37e-c5c1-40cb-8fef-b6a06e4d3964,Attribute,cd8362bb-cc2e-4291-86be-72fea8c1c69a,A1.6.4 - Seed processing for propagation,,,,,,,,A1.64,,,,
3f879669-38f9-48b1-8994-77c271554877,Group,14ff79e4-a6e1-42f6-82c9-4785d8f07540,"A1.7 - Hunting, trapping and related service activities",,,,,,,,A1.7,,,,
2e524f26-d7c0-436b-a7df-9b24562ee97b,Attribute,3f879669-38f9-48b1-8994-77c271554877,"A1.7.0 - Hunting, trapping and related service activities",,,,,,,,A1.70,,,,
c360a03c-6496-42d4-a896-0a331ab34460,Group,5e7fd4e9-c5c7-4a48-af69-15e6283bf689,A2 - Forestry and logging,,"a11d0810-27ef-476e-9c01-f033f77a7fb4,bbda5ccb-8aff-4396-b542-e8bfe33efdef,4cf8ad9c-9bdc-4eb7-9f9c-f9ea54f842b6,3798bd89-dfff-4f96-9e2a-bd354252762e",,,,,,A2,,,,
21f2e067-67d3-4674-8ebf-c819d8e7e2de,Transition,,,c360a03c-6496-42d4-a896-0a331ab34460,a11d0810-27ef-476e-9c01-f033f77a7fb4,,,,,,,,,,
3244ebfd-c182-4a41-93bd-97d70ec231fc,Transition,,,c360a03c-6496-42d4-a896-0a331ab34460,bbda5ccb-8aff-4396-b542-e8bfe33efdef,,,,,,,,,,
3f6c1189-d750-4627-bfb1-6b252a413922,Transition,,,c360a03c-6496-42d4-a896-0a331ab34460,4cf8ad9c-9bdc-4eb7-9f9c-f9ea54f842b6,,,,,,,,,,
615c7f68-b1fc-4063-8ebc-b8307df67c70,Transition,,,c360a03c-6496-42d4-a896-0a331ab34460,3798bd89-dfff-4f96-9e2a-bd354252762e,,,,,,,,,,
baa979d1-525d-42fb-bcea-665301434825,Group,c360a03c-6496-42d4-a896-0a331ab34460,A2.1 - Silviculture and other forestry activities,,,,,,,,A2.1,,,,
fb81d209-bfc9-4264-99d7-4658bfc62362,Attribute,baa979d1-525d-42fb-bcea-665301434825,A2.1.0 - Silviculture and other forestry activities,,,,,,,,A2.10,,,,
38f37f5e-cbd8-4634-8966-c8d3168a3899,Group,c360a03c-6496-42d4-a896-0a331ab34460,A2.2 - Logging,,,,,,,,A2.2,,,,
7f21d388-82ab-4e66-84c1-4b621f3a5844,Attribute,38f37f5e-cbd8-4634-8966-c8d3168a3899,A2.2.0 - Logging,,,,,,,,A2.20,,,,
194bd55b-ffa3-490e-9561-91dee41e61e4,Group,c360a03c-6496-42d4-a896-0a331ab34460,A2.3 - Gathering of wild growing non-wood products,,,,,,,,A2.3,,,,
451d259f-2122-4d23-9d33-17259f89c861,Attribute,194bd55b-ffa3-490e-9561-91dee41e61e4,A2.3.0 - Gathering of wild growing non-wood products,,,,,,,,A2.30,,,,
4eff2484-529c-4a63-8f3e-33dbd2d54b79,Group,c360a03c-6496-42d4-a896-0a331ab34460,A2.4 - Support services to forestry,,,,,,,,A2.4,,,,
ef738346-6f4b-47f8-b519-60de4dc95794,Attribute,4eff2484-529c-4a63-8f3e-33dbd2d54b79,A2.4.0 - Support services to forestry,,,,,,,,A2.40,,,,
6dcf338d-f126-4bfb-a409-4f9f87a8f976,Group,5e7fd4e9-c5c7-4a48-af69-15e6283bf689,A3 - Fishing and aquaculture,,,,,,,,A3,,,,
6d3a2a22-d1c6-4323-ae49-7f8024928dd3,Group,6dcf338d-f126-4bfb-a409-4f9f87a8f976,A3.1 - Fishing,,,,,,,,A3.1,,,,
0db11b14-9a47-47a1-a456-dac6bcb785b8,Attribute,6d3a2a22-d1c6-4323-ae49-7f8024928dd3,A3.1.1 - Marine fishing,,,,,,,,A3.11,,,,
2027424f-721a-401c-b9c1-6800f0f493e8,Attribute,6d3a2a22-d1c6-4323-ae49-7f8024928dd3,A3.1.2 - Freshwater fishing,,,,,,,,A3.12,,,,
784d920a-01d6-42b9-a034-db465fca0ec3,Group,6dcf338d-f126-4bfb-a409-4f9f87a8f976,A3.2 - Aquaculture,,,,,,,,A3.2,,,,
2a0d5409-f9f8-479d-8c84-6c56f02dacb2,Attribute,784d920a-01d6-42b9-a034-db465fca0ec3,A3.2.1 - Marine aquaculture,,,,,,,,A3.21,,,,
625ba08d-97f4-405d-9950-1fb7d6e6d6a9,Attribute,784d920a-01d6-42b9-a034-db465fca0ec3,A3.2.2 - Freshwater aquaculture,,,,,,,,A3.22,,,,
9466f046-23cf-4a90-97c6-575b73971966,Object,461e5a7c-7648-4872-9bc9-73a1597a4562,B - Mining and quarrying,,,,,,,,B,,,,
619d6131-f17c-4370-8575-5d68e4362c43,Group,9466f046-23cf-4a90-97c6-575b73971966,B5 - Mining of coal and lignite,,,,,,,,B5,,,,
c0e2c58c-747f-4476-9299-25389a7f7d2f,Group,619d6131-f17c-4370-8575-5d68e4362c43,B5.1 - Mining of hard coal,,,,,,,,B5.1,,,,
d57c2f44-96b4-416a-ae14-2a30bc14f2d3,Attribute,c0e2c58c-747f-4476-9299-25389a7f7d2f,B5.1.0 - Mining of hard coal,,,,,,,,B5.10,,,,
830689f9-7b48-43ea-9ddb-28159450762e,Group,619d6131-f17c-4370-8575-5d68e4362c43,B5.2 - Mining of lignite,,,,,,,,B5.2,,,,
23c9c21b-3205-48e0-9397-d2d4b7e9aa82,Attribute,830689f9-7b48-43ea-9ddb-28159450762e,B5.2.0 - Mining of lignite,,,,,,,,B5.20,,,,
37a93ea8-c6bc-43c7-b805-103965ccdd2b,Group,9466f046-23cf-4a90-97c6-575b73971966,B6 - Extraction of crude petroleum and natural gas,,,,,,,,B6,,,,
bee9a310-dfa6-4f3c-b4ab-d532179ecd8b,Group,37a93ea8-c6bc-43c7-b805-103965ccdd2b,B6.1 - Extraction of crude petroleum,,,,,,,,B6.1,,,,
9865ba23-e7b3-4780-9e3e-791dc30af1b9,Attribute,bee9a310-dfa6-4f3c-b4ab-d532179ecd8b,B6.1.0 - Extraction of crude petroleum,,,,,,,,B6.10,,,,
9d5c8250-6a3f-4fb7-a7a4-1c78bf14ccb7,Group,37a93ea8-c6bc-43c7-b805-103965ccdd2b,B6.2 - Extraction of natural gas,,,,,,,,B6.2,,,,
a2cd464e-6df0-414a-af7a-d9a9a8a42edc,Attribute,9d5c8250-6a3f-4fb7-a7a4-1c78bf14ccb7,B6.2.0 - Extraction of natural gas,,,,,,,,B6.20,,,,
80e7efee-a31c-4eeb-863d-9db4e42a44fc,Group,9466f046-23cf-4a90-97c6-575b73971966,B7 - Mining of metal ores,,,,,,,,B7,,,,
3832ae65-aea6-4eb0-91ed-6ce86a191c82,Group,80e7efee-a31c-4eeb-863d-9db4e42a44fc,B7.1 - Mining of iron ores,,,,,,,,B7.1,,,,
20a8a98e-5aeb-40bb-95e5-3e44b74ab14c,Attribute,3832ae65-aea6-4eb0-91ed-6ce86a191c82,B7.1.0 - Mining of iron ores,,,,,,,,B7.10,,,,
09d0da4a-74ed-4e25-8829-d4c3495cd7a7,Group,80e7efee-a31c-4eeb-863d-9db4e42a44fc,B7.2 - Mining of non-ferrous metal ores,,,,,,,,B7.2,,,,
e1788b24-d8e0-43ef-b16d-27759fd6b427,Attribute,09d0da4a-74ed-4e25-8829-d4c3495cd7a7,B7.2.1 - Mining of uranium and thorium ores,,,,,,,,B7.21,,,,
8379a25c-2030-455b-9ca9-e70baff8b5b1,Attribute,09d0da4a-74ed-4e25-8829-d4c3495cd7a7,B7.2.9 - Mining of other non-ferrous metal ores,,,,,,,,B7.29,,,,
65df9662-5a14-498c-8666-247f29ad20b9,Group,9466f046-23cf-4a90-97c6-575b73971966,B8 - Other mining and quarrying,,,,,,,,B8,,,,
cb256d79-e0fd-4756-abec-98227e8bc8e3,Group,65df9662-5a14-498c-8666-247f29ad20b9,"B8.1 - Quarrying of stone, sand and clay",,,,,,,,B8.1,,,,
b61afd62-2158-417c-bef5-8a370de23abf,Attribute,cb256d79-e0fd-4756-abec-98227e8bc8e3,"B8.1.1 - Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,,,,,B8.11,,,,
eecab6ec-70c2-4bc3-86b1-688e349a9144,Attribute,cb256d79-e0fd-4756-abec-98227e8bc8e3,B8.1.2 - Operation of gravel and sand pits; mining of clays and kaolin,,,,,,,,B8.12,,,,
288cca3a-80ef-414f-bd79-6661bd3ac0c2,Group,65df9662-5a14-498c-8666-247f29ad20b9,B8.9 - Mining and quarrying n.e.c.,,,,,,,,B8.9,,,,
061ae53f-6e35-481d-9438-b6a2562e7063,Attribute,288cca3a-80ef-414f-bd79-6661bd3ac0c2,B8.9.1 - Mining of chemical and fertiliser minerals,,,,,,,,B8.91,,,,
00badfd3-1c76-4a86-ae07-ef7342fd7104,Attribute,288cca3a-80ef-414f-bd79-6661bd3ac0c2,B8.9.2 - Extraction of peat,,,,,,,,B8.92,,,,
8f683b6d-0f92-46ea-bbd0-fb5083b1409b,Attribute,288cca3a-80ef-414f-bd79-6661bd3ac0c2,B8.9.3 - Extraction of salt,,,,,,,,B8.93,,,,
ba415b18-6e0d-4ea9-bd73-f4a9d370ea93,Attribute,288cca3a-80ef-414f-bd79-6661bd3ac0c2,B8.9.9 - Other mining and quarrying n.e.c.,,,,,,,,B8.99,,,,
fd9c89f1-7661-4727-93c4-b648a7bf03a7,Group,9466f046-23cf-4a90-97c6-575b73971966,B9 - Mining support service activities,,,,,,,,B9,,,,
33458f1f-b89c-4c5d-91c5-70fc2c3c2fcf,Group,fd9c89f1-7661-4727-93c4-b648a7bf03a7,B9.1 - Support activities for petroleum and natural gas extraction,,,,,,,,B9.1,,,,
f3d1ad48-491c-4e4b-b440-89aa8a17d9b1,Attribute,33458f1f-b89c-4c5d-91c5-70fc2c3c2fcf,B9.1.0 - Support activities for petroleum and natural gas extraction,,,,,,,,B9.10,,,,
7325cdb3-8803-4cca-97b0-1c5d9c32e037,Group,fd9c89f1-7661-4727-93c4-b648a7bf03a7,B9.9 - Support activities for other mining and quarrying,,,,,,,,B9.9,,,,
8b646180-5119-4133-bbb2-5cebc9758407,Attribute,7325cdb3-8803-4cca-97b0-1c5d9c32e037,B9.9.0 - Support activities for other mining and quarrying,,,,,,,,B9.90,,,,
d054fadf-cd13-4776-b75b-03f8b1778b27,Object,461e5a7c-7648-4872-9bc9-73a1597a4562,C - Manufacturing,,,,,,,,C,,,,
e865a066-8900-45f5-a202-84eb52a84f99,Group,d054fadf-cd13-4776-b75b-03f8b1778b27,C10 - Manufacture of food products,,,,,,,,C10,,,,
c3f3a424-28e0-4829-aabb-41746acfb53e,Group,e865a066-8900-45f5-a202-84eb52a84f99,C10.1 - Processing and preserving of meat and production of meat products,,,,,,,,C10.1,,,,
4959cca3-d6bc-485f-8765-c4d0e1287c70,Attribute,c3f3a424-28e0-4829-aabb-41746acfb53e,C10.1.1 - Processing and preserving of meat,,,,,,,,C10.11,,,,
2406ccd2-3d68-4637-8bf3-9341d2594e58,Attribute,c3f3a424-28e0-4829-aabb-41746acfb53e,C10.1.2 - Processing and preserving of poultry meat,,,,,,,,C10.12,,,,
c716e421-e1fa-4c57-be8d-313c44f3d3e3,Attribute,c3f3a424-28e0-4829-aabb-41746acfb53e,C10.1.3 - Production of meat and poultry meat products,,,,,,,,C10.13,,,,
83598947-14b1-440c-8491-ce26fdbd46bb,Group,e865a066-8900-45f5-a202-84eb52a84f99,"C10.2 - Processing and preserving of fish, crustaceans and molluscs",,,,,,,,C10.2,,,,
f1b76d65-d132-44c2-93b7-861d98c6fa4c,Attribute,83598947-14b1-440c-8491-ce26fdbd46bb,"C10.2.0 - Processing and preserving of fish, crustaceans and molluscs",,,,,,,,C10.20,,,,
8bd7ac51-a14f-4f8d-a72f-ac1eaab24401,Group,e865a066-8900-45f5-a202-84eb52a84f99,C10.3 - Processing and preserving of fruit and vegetables,,,,,,,,C10.3,,,,
155ac2fd-8539-475b-886c-faa7e134837b,Attribute,8bd7ac51-a14f-4f8d-a72f-ac1eaab24401,C10.3.1 - Processing and preserving of potatoes,,,,,,,,C10.31,,,,
e5783b94-65df-4261-a36c-a9870483e4e3,Attribute,8bd7ac51-a14f-4f8d-a72f-ac1eaab24401,C10.3.2 - Manufacture of fruit and vegetable juice,,,,,,,,C10.32,,,,
cbc0516e-032a-43f0-aa02-5a7c0b4b4fcf,Attribute,8bd7ac51-a14f-4f8d-a72f-ac1eaab24401,C10.3.9 - Other processing and preserving of fruit and vegetables,,,,,,,,C10.39,,,,
58e654df-df9c-432e-876a-086880300b6e,Group,e865a066-8900-45f5-a202-84eb52a84f99,C10.4 - Manufacture of vegetable and animal oils and fats,,,,,,,,C10.4,,,,
fb2b2754-3789-464c-8947-e1d0a7561034,Attribute,58e654df-df9c-432e-876a-086880300b6e,C10.4.1 - Manufacture of oils and fats,,,,,,,,C10.41,,,,
5e942a04-78cf-444e-9d04-f12d51566c74,Attribute,58e654df-df9c-432e-876a-086880300b6e,C10.4.2 - Manufacture of margarine and similar edible fats,,,,,,,,C10.42,,,,
5b57d839-7823-4a90-a054-0c29eeeb79fc,Group,e865a066-8900-45f5-a202-84eb52a84f99,C10.5 - Manufacture of dairy products,,,,,,,,C10.5,,,,
c1a59df3-b1dc-4a30-9cef-22a8ec394d2c,Attribute,5b57d839-7823-4a90-a054-0c29eeeb79fc,C10.5.1 - Operation of dairies and cheese making,,,,,,,,C10.51,,,,
1c9f6e16-5fe0-4245-8d91-e328f61471b7,Attribute,5b57d839-7823-4a90-a054-0c29eeeb79fc,C10.5.2 - Manufacture of ice cream,,,,,,,,C10.52,,,,
633ab538-c3f2-4b68-9c0e-c5074ee3ddb7,Group,e865a066-8900-45f5-a202-84eb52a84f99,"C10.6 - Manufacture of grain mill products, starches and starch products",,,,,,,,C10.6,,,,
cfb266bc-6c65-4aa8-8e80-77624a733e33,Attribute,633ab538-c3f2-4b68-9c0e-c5074ee3ddb7,C10.6.1 - Manufacture of grain mill products,,,,,,,,C10.61,,,,
cc065c5c-25a3-4d39-a7ff-fb5b901e96db,Attribute,633ab538-c3f2-4b68-9c0e-c5074ee3ddb7,C10.6.2 - Manufacture of starches and starch products,,,,,,,,C10.62,,,,
9fb44f80-1bf4-49de-a5b6-c53d09b71085,Group,e865a066-8900-45f5-a202-84eb52a84f99,C10.7 - Manufacture of bakery and farinaceous products,,,,,,,,C10.7,,,,
262117dd-f65f-4cea-9244-e2f4760db36c,Attribute,9fb44f80-1bf4-49de-a5b6-c53d09b71085,C10.7.1 - Manufacture of bread; manufacture of fresh pastry goods and cakes,,,,,,,,C10.71,,,,
4885398c-76ef-4583-8304-71f31fe0142f,Attribute,9fb44f80-1bf4-49de-a5b6-c53d09b71085,C10.7.2 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,,,,,,C10.72,,,,
199a2584-18ef-4451-81a9-a39b679868a6,Attribute,9fb44f80-1bf4-49de-a5b6-c53d09b71085,"C10.7.3 - Manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,,,,,C10.73,,,,
8addfdb6-11bc-4b0d-9e69-bcb1467d8473,Group,e865a066-8900-45f5-a202-84eb52a84f99,C10.8 - Manufacture of other food products,,,,,,,,C10.8,,,,
a56f47dc-c141-4d63-88ea-5723a89127bc,Attribute,8addfdb6-11bc-4b0d-9e69-bcb1467d8473,C10.8.1 - Manufacture of sugar,,,,,,,,C10.81,,,,
d858f043-8568-4c38-9eab-1205d348acac,Attribute,8addfdb6-11bc-4b0d-9e69-bcb1467d8473,"C10.8.2 - Manufacture of cocoa, chocolate and sugar confectionery",,,,,,,,C10.82,,,,
c3792295-b607-45b2-a48a-4c82f686088b,Attribute,8addfdb6-11bc-4b0d-9e69-bcb1467d8473,C10.8.3 - Processing of tea and coffee,,,,,,,,C10.83,,,,
fdfded37-10d1-4793-9d01-19e528fc4372,Attribute,8addfdb6-11bc-4b0d-9e69-bcb1467d8473,C10.8.4 - Manufacture of condiments and seasonings,,,,,,,,C10.84,,,,
6cfd4598-9c1b-4320-b912-edf669607235,Attribute,8addfdb6-11bc-4b0d-9e69-bcb1467d8473,C10.8.5 - Manufacture of prepared meals and dishes,,,,,,,,C10.85,,,,
22e44e8e-3e78-454e-8cdb-e851f39236a6,Attribute,8addfdb6-11bc-4b0d-9e69-bcb1467d8473,C10.8.6 - Manufacture of homogenised food preparations and dietetic food,,,,,,,,C10.86,,,,
0e984f24-1ef2-45ad-b116-15c991690f49,Attribute,8addfdb6-11bc-4b0d-9e69-bcb1467d8473,C10.8.9 - Manufacture of other food products n.e.c.,,,,,,,,C10.89,,,,
b928b709-3193-4970-a42a-57e87275fe96,Group,e865a066-8900-45f5-a202-84eb52a84f99,C10.9 - Manufacture of prepared animal feeds,,,,,,,,C10.9,,,,
bff6367f-05bc-4d5e-962c-ef345226b9ed,Attribute,b928b709-3193-4970-a42a-57e87275fe96,C10.9.1 - Manufacture of prepared feeds for farm animals,,,,,,,,C10.91,,,,
6099bf99-35b5-4f01-a83c-2f95633615b5,Attribute,b928b709-3193-4970-a42a-57e87275fe96,C10.9.2 - Manufacture of prepared pet foods,,,,,,,,C10.92,,,,
2b77238d-9404-4f64-b664-dc9716fa81df,Group,d054fadf-cd13-4776-b75b-03f8b1778b27,C11 - Manufacture of beverages,,,,,,,,C11,,,,
25a96710-de33-4b6d-84f5-89e54a9f870c,Group,2b77238d-9404-4f64-b664-dc9716fa81df,C11.0 - Manufacture of beverages,,,,,,,,C11.0,,,,
0986e53e-0e8e-4442-a4d1-2f3970d1ed25,Attribute,25a96710-de33-4b6d-84f5-89e54a9f870c,"C11.0.1 - Distilling, rectifying and blending of spirits",,,,,,,,C11.01,,,,
0175ab48-8f6b-4738-9afe-887e4251dd1e,Attribute,25a96710-de33-4b6d-84f5-89e54a9f870c,C11.0.2 - Manufacture of wine from grape,,,,,,,,C11.02,,,,
7475614d-8dbb-41b8-8088-dc8252070d0c,Attribute,25a96710-de33-4b6d-84f5-89e54a9f870c,C11.0.3 - Manufacture of cider and other fruit wines,,,,,,,,C11.03,,,,
39b36c09-28e7-491d-bbf4-15a21cd3d8eb,Attribute,25a96710-de33-4b6d-84f5-89e54a9f870c,C11.0.4 - Manufacture of other non-distilled fermented beverages,,,,,,,,C11.04,,,,
0b17a6aa-2584-4225-ad9b-8ed4c4b25186,Attribute,25a96710-de33-4b6d-84f5-89e54a9f870c,C11.0.5 - Manufacture of beer,,,,,,,,C11.05,,,,
108d5c81-3696-4c0a-9010-b8b6bcf76c03,Attribute,25a96710-de33-4b6d-84f5-89e54a9f870c,C11.0.6 - Manufacture of malt,,,,,,,,C11.06,,,,
3506a0b6-8bd1-4c80-b540-6424edc22fd7,Attribute,25a96710-de33-4b6d-84f5-89e54a9f870c,C11.0.7 - Manufacture of soft drinks; production of mineral waters and other bottled waters,,,,,,,,C11.07,,,,
eba746f4-ede4-40b0-b6d0-116923cefe62,Group,d054fadf-cd13-4776-b75b-03f8b1778b27,C12 - Manufacture of tobacco products,,,,,,,,C12,,,,
78a40881-686f-414d-be1e-1e9676d669f0,Group,eba746f4-ede4-40b0-b6d0-116923cefe62,C12.0 - Manufacture of tobacco products,,,,,,,,C12.0,,,,
11a11fc0-d037-4f0b-ba6f-27a903e4a360,Attribute,78a40881-686f-414d-be1e-1e9676d669f0,C12.0.0 - Manufacture of tobacco products,,,,,,,,C12.00,,,,
eb9eefed-336b-4fee-b520-8060f4ede4b4,Group,d054fadf-cd13-4776-b75b-03f8b1778b27,C13 - Manufacture of textiles,,,,,,,,C13,,,,
a4931a35-1f16-46c4-90f8-c459dfe5fcd2,Group,eb9eefed-336b-4fee-b520-8060f4ede4b4,C13.1 - Preparation and spinning of textile fibres,,,,,,,,C13.1,,,,
019e53d4-0800-406c-89c8-39f2611ac7e4,Attribute,a4931a35-1f16-46c4-90f8-c459dfe5fcd2,C13.1.0 - Preparation and spinning of textile fibres,,,,,,,,C13.10,,,,
b8ac6d4d-33cc-4afb-b5b8-abc4d8df4b45,Group,eb9eefed-336b-4fee-b520-8060f4ede4b4,C13.2 - Weaving of textiles,,,,,,,,C13.2,,,,
e907766e-bcca-4ddf-a7b3-e9327066604b,Attribute,b8ac6d4d-33cc-4afb-b5b8-abc4d8df4b45,C13.2.0 - Weaving of textiles,,,,,,,,C13.20,,,,
