ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Row,Comments/Description,Column
98eb454a-ac12-449a-898e-15b8e3623574,Attribute,c4c66a04-e4ff-4049-8db8-ac7656bded0d,Circular economy,,,,,,,,A1: Taxonomy-aligned activities,Proportion of CapEx of a given activity that substantially contributes to the Circular economy objective.,(8)
2f9265fc-b4e9-4ec8-b2c3-82e9762f5d9d,Attribute,c4c66a04-e4ff-4049-8db8-ac7656bded0d,Pollution,,,,,,,,A1: Taxonomy-aligned activities,Proportion of CapEx of a given activity that substantially contributes to the Pollution objective.,(9)
757d5705-f240-440d-895e-76ffe380d872,Attribute,c4c66a04-e4ff-4049-8db8-ac7656bded0d,Biodiversity and ecosystems,,,,,,,,A1: Taxonomy-aligned activities,Proportion of CapEx of a given activity that substantially contributes to the Biodiversity and ecosystems objective.,(10)
fbdb9a25-e897-4fb7-8839-cb0dbcc2ddd4,Group,c9bedf33-c98f-4204-96c7-adfd4c478d60,DNSH criteria,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(11)-(16)
4ba9d40c-b429-4b3e-aa29-795e0a876cb8,Attribute,fbdb9a25-e897-4fb7-8839-cb0dbcc2ddd4,Climate change mitigation,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(11)
af0055ad-fba0-41fa-bd5c-b02190db4183,Attribute,fbdb9a25-e897-4fb7-8839-cb0dbcc2ddd4,Climate change adaptation,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(12)
3ba112de-63a6-4cd0-9292-23a735ba39bd,Attribute,fbdb9a25-e897-4fb7-8839-cb0dbcc2ddd4,Water and marine resources,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(13)
7183988e-87fc-4ddb-bf39-95722f4e137c,Attribute,fbdb9a25-e897-4fb7-8839-cb0dbcc2ddd4,Circular economy,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(14)
e14cd51c-57a8-4753-a8a6-fbdfe89ee9c1,Attribute,fbdb9a25-e897-4fb7-8839-cb0dbcc2ddd4,Pollution,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(15)
5052f325-cc32-4ecf-93cd-1b979fb98c0a,Attribute,fbdb9a25-e897-4fb7-8839-cb0dbcc2ddd4,Biodiversity and ecosystems,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(16)
0baf9291-3635-4713-80f6-c638f4244b5e,Attribute,c9bedf33-c98f-4204-96c7-adfd4c478d60,Minimum safeguards,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with MS (Y/N).,(17)
25fcf0a0-d6cf-400e-90fa-c3d25fabdeea,Attribute,c9bedf33-c98f-4204-96c7-adfd4c478d60,"Taxonomy-aligned proportion of CapEx, year N",,,,,,,,A1: Taxonomy-aligned activities,Taxonomy-aligned proportion of CapEx of a given activity.,(18)
8d59a0f0-d9f7-470f-a653-c89e1d20a097,Attribute,c9bedf33-c98f-4204-96c7-adfd4c478d60,"Taxonomy-aligned proportion of CapEx, year N-1",,,,,,,,A1: Taxonomy-aligned activities,Taxonomy-aligned proportion of CapEx of a given activity.,(19)
18066c7e-b13d-4c18-a3e1-564273dd333b,Attribute,c9bedf33-c98f-4204-96c7-adfd4c478d60,Enabling activity flag,,,,,,,,A1: Taxonomy-aligned activities,Categorisations based on whether an activity is transitional (only for climate change mitigation) or enabling. Information in these columns is only to be selected if officially classified as such and the activity does not substantially contribute by its own performance.,(20)
2571273e-fd2e-4fac-aa8e-f434e3555a05,Attribute,c9bedf33-c98f-4204-96c7-adfd4c478d60,Transitional activity flag,,,,,,,,A1: Taxonomy-aligned activities,Categorisations based on whether an activity is transitional (only for climate change mitigation) or enabling. Information in these columns is only to be selected if officially classified as such and the activity does not substantially contribute by its own performance.,(21)
7765ba82-6984-40da-9ab9-c506fc0171a5,Attribute,4864eb79-b0ee-4d00-bc13-f15cbf78fb6d,CapEx of Taxonomy-aligned activities (Total),,,,,,,,A1T: Taxonomy-aligned activities (Total),Incl. sum or total of all Taxonomy-eligible activities’ Taxonomy-aligned proportion of CapExs.,"(3)-(10), (18)-(19)"
b38f6810-7760-4803-b6b7-55d65a536416,Group,4864eb79-b0ee-4d00-bc13-f15cbf78fb6d,Taxonomy-eligible but not Taxonomy-aligned activities,,,,,,,,A2: Taxonomy-eligible but not Taxonomy-aligned activities,"List of eligible but non-aligned activities under the EU Taxonomy. The missing columns refer to the criteria (DNSH and MS) and other classifications (enabling, transitional and own performance) that only pertain to Taxonomy alignment. This information need not be reported if the result is that the activity is not Taxonomy aligned.",
ac09ff44-8997-46f1-9dae-e96824050f1a,Attribute,b38f6810-7760-4803-b6b7-55d65a536416,Economic activity,,,,,,,,A2: Taxonomy-eligible but not Taxonomy-aligned activities,,(1)
6eea1715-8969-4096-bd23-c2aa5accf5f1,Attribute,b38f6810-7760-4803-b6b7-55d65a536416,Code(s),,,,,,,,A2: Taxonomy-eligible but not Taxonomy-aligned activities,,(2)
c80bb8bd-97c6-485b-9413-c38510485d15,Attribute,b38f6810-7760-4803-b6b7-55d65a536416,Absolute CapEx,,,,,,,,A2: Taxonomy-eligible but not Taxonomy-aligned activities,,(3)
1e16d418-7088-4230-b007-e7c3e281967f,Attribute,b38f6810-7760-4803-b6b7-55d65a536416,Proportion of CapEx,,,,,,,,A2: Taxonomy-eligible but not Taxonomy-aligned activities,Proportion of CapEx of a given activity against the total CapEx of the company.,(4)
55a4e0fd-3fbc-43ab-b5ef-bc54171aa2d0,Attribute,4864eb79-b0ee-4d00-bc13-f15cbf78fb6d,CapEx of Taxonomy-eligible but not Taxonomy-aligned activities (Total),,,,,,,,A2T: Taxonomy-eligible but not Taxonomy-aligned activities (Total),,
c4cb0a91-7a3b-4f03-8015-f3c69b26e803,Group,4864eb79-b0ee-4d00-bc13-f15cbf78fb6d,Total (Taxonomy-eligible activities),,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,
21f695e1-b646-42ba-8655-33b0a696ed12,Attribute,c4cb0a91-7a3b-4f03-8015-f3c69b26e803,Absolute CapEx,,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,(3)
3a376526-a247-49a7-8a78-7273ce49dcf2,Attribute,c4cb0a91-7a3b-4f03-8015-f3c69b26e803,Proportion of CapEx,,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),Proportion of CapEx of all Taxonomy-eligible activities (including those that failed the Taxonomy alignment check).,(4)
9f28269a-d1c2-48f4-999e-4d8e2041b634,Attribute,c4cb0a91-7a3b-4f03-8015-f3c69b26e803,"Taxonomy-aligned proportion of CapEx, year N",,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,(18)
28452a50-826b-4936-a9b7-3668b2371959,Attribute,c4cb0a91-7a3b-4f03-8015-f3c69b26e803,"Taxonomy-aligned proportion of CapEx, year N-1",,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,(19)
c0c3dbd5-6617-4178-962e-c02edf11ebec,Attribute,c4cb0a91-7a3b-4f03-8015-f3c69b26e803,Enabling activity flag,,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,(20)
e20dca11-d370-47fa-85bd-72b64ebd6353,Attribute,c4cb0a91-7a3b-4f03-8015-f3c69b26e803,Transitional activity flag,,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,(21)
d4d2c327-4d89-4e9b-8264-27c779dbb07e,Group,0495ed29-babd-45c5-95d2-ce734a6c4380,Taxonomy-non-eligible activities,,,,,,,,B: Taxonomy-non-eligible activities,Non-eligible activities under the EU Taxonomy.,
b106cc79-13b7-48de-a4ad-2f4610fcfcec,Attribute,d4d2c327-4d89-4e9b-8264-27c779dbb07e,CapEx of Taxonomy-non-eligible activities,,,,,,,,B1: CapEx of Taxonomy-non-eligible activities,Proportion of CapEx of non-eligible activities under the EU Taxonomy.,(4)
be99669f-3089-49ec-be5a-17f70cf4f224,Attribute,d4d2c327-4d89-4e9b-8264-27c779dbb07e,Total CapEx,,,,,,,,A+B: CapEx (Total),"Total CapEx of the company, in percentage (always 100%).",(4)
cb53b85a-2cfb-42d8-b76c-7894ba61e7da,Object,3c799de4-12f0-4ddb-9af8-87625969c64e,OpEx KPI,,,,,,,,,,
d92289a4-0482-4812-b7f5-bb4015ca5b68,Group,cb53b85a-2cfb-42d8-b76c-7894ba61e7da,Taxonomy-eligible activities,,,,,,,,A: Taxonomy-eligible activities,,
525d708d-19ed-48df-ad59-7d1f85b0a5ab,Group,d92289a4-0482-4812-b7f5-bb4015ca5b68,Taxonomy-aligned activities,,,,,,,,A1: Taxonomy-aligned activities,List of eligible and aligned activities under the EU Taxonomy.,
02346072-6a69-491f-891a-2470e3fcc34f,Attribute,525d708d-19ed-48df-ad59-7d1f85b0a5ab,Economic activity,,,,,,,,A1: Taxonomy-aligned activities,,(1)
c4f4fbac-10a7-49b8-af4b-7c5538fa5229,Attribute,525d708d-19ed-48df-ad59-7d1f85b0a5ab,Code(s),,,,,,,,A1: Taxonomy-aligned activities,,(2)
f0cf7ae2-7091-41a2-9890-132be1ce07ad,Attribute,525d708d-19ed-48df-ad59-7d1f85b0a5ab,Absolute OpEx,,,,,,,,A1: Taxonomy-aligned activities,,(3)
40043695-0fd4-47ab-878f-efc2ba5445af,Attribute,525d708d-19ed-48df-ad59-7d1f85b0a5ab,Proportion of OpEx,,,,,,,,A1: Taxonomy-aligned activities,Proportion of OpEx of a given activity against the total OpEx of the company.,(4)
e66692a5-fab1-4e65-a0b3-5180f0548347,Group,525d708d-19ed-48df-ad59-7d1f85b0a5ab,Substantial Contribution Criteria,,,,,,,,A1: Taxonomy-aligned activities,"Proportion of OpEx of a given activity that substantially contributes to one of the environmental objectives. While a given activity can Significantly Contribute to multiple environmental objectives, only one of these columns is expected to be populated.",(5)-(10)
d227ee43-2354-436f-9b43-b393a73d3da4,Attribute,e66692a5-fab1-4e65-a0b3-5180f0548347,Climate change mitigation,,,,,,,,A1: Taxonomy-aligned activities,Proportion of OpEx of a given activity that substantially contributes to the Climate change mitigation objective.,(5)
88727dbc-831f-4371-9a27-a9b613060755,Attribute,e66692a5-fab1-4e65-a0b3-5180f0548347,Climate change adaptation,,,,,,,,A1: Taxonomy-aligned activities,Proportion of OpEx of a given activity that substantially contributes to the Climate change adaptation objective.,(6)
7e07d7e1-796e-49c5-a0fb-10713d2f926d,Attribute,e66692a5-fab1-4e65-a0b3-5180f0548347,Water and marine resources,,,,,,,,A1: Taxonomy-aligned activities,Proportion of OpEx of a given activity that substantially contributes to the Water and marine resources objective.,(7)
058a3325-13dc-49c6-a2b8-0aea4021ec35,Attribute,e66692a5-fab1-4e65-a0b3-5180f0548347,Circular economy,,,,,,,,A1: Taxonomy-aligned activities,Proportion of OpEx of a given activity that substantially contributes to the Circular economy objective.,(8)
bdf12751-b994-4eff-b1b9-b800631385ad,Attribute,e66692a5-fab1-4e65-a0b3-5180f0548347,Pollution,,,,,,,,A1: Taxonomy-aligned activities,Proportion of OpEx of a given activity that substantially contributes to the Pollution objective.,(9)
4b781af7-bb36-4fdd-bc44-77d01b5cf74b,Attribute,e66692a5-fab1-4e65-a0b3-5180f0548347,Biodiversity and ecosystems,,,,,,,,A1: Taxonomy-aligned activities,Proportion of OpEx of a given activity that substantially contributes to the Biodiversity and ecosystems objective.,(10)
7ad9ad79-cd77-48d1-b383-6f67b6c2e415,Group,525d708d-19ed-48df-ad59-7d1f85b0a5ab,DNSH criteria,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(11)-(16)
7dde1786-72ba-41ae-a67b-70c1e5cf0cb5,Attribute,7ad9ad79-cd77-48d1-b383-6f67b6c2e415,Climate change mitigation,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(11)
9c218fbe-569b-4887-a9b5-3bca699abb40,Attribute,7ad9ad79-cd77-48d1-b383-6f67b6c2e415,Climate change adaptation,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(12)
7c15a8c5-4622-4602-8a8d-e9a29355f60f,Attribute,7ad9ad79-cd77-48d1-b383-6f67b6c2e415,Water and marine resources,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(13)
561dea09-3eab-4982-aa1e-11a13af40b0b,Attribute,7ad9ad79-cd77-48d1-b383-6f67b6c2e415,Circular economy,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(14)
b44b4f5a-8a61-4693-b4d9-e20865f37e97,Attribute,7ad9ad79-cd77-48d1-b383-6f67b6c2e415,Pollution,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(15)
d1e296c9-5651-4ddb-b90f-ab5a96e024b7,Attribute,7ad9ad79-cd77-48d1-b383-6f67b6c2e415,Biodiversity and ecosystems,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(16)
6e14dd23-c073-43c4-838f-ec5bd9f42c39,Attribute,525d708d-19ed-48df-ad59-7d1f85b0a5ab,Minimum safeguards,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with MS (Y/N).,(17)
d06ba760-7441-450a-9f75-f5fac2321732,Attribute,525d708d-19ed-48df-ad59-7d1f85b0a5ab,"Taxonomy-aligned proportion of OpEx, year N",,,,,,,,A1: Taxonomy-aligned activities,Taxonomy-aligned proportion of OpEx of a given activity.,(18)
6d460e63-c9a5-475e-ae1e-761f09d1db73,Attribute,525d708d-19ed-48df-ad59-7d1f85b0a5ab,"Taxonomy-aligned proportion of OpEx, year N-1",,,,,,,,A1: Taxonomy-aligned activities,Taxonomy-aligned proportion of OpEx of a given activity.,(19)
23d47820-ff8c-426a-8096-820e62560142,Attribute,525d708d-19ed-48df-ad59-7d1f85b0a5ab,Enabling activity flag,,,,,,,,A1: Taxonomy-aligned activities,Categorisations based on whether an activity is transitional (only for climate change mitigation) or enabling. Information in these columns is only to be selected if officially classified as such and the activity does not substantially contribute by its own performance.,(20)
